index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
141,arrheniusTest.py,1.0,1.0,1.0,1.0,11.0,0.0,8.0,3.0,5.0,69.0,69.0,950.0,84.0,597.0,84.0,513.0,269.0,0.0,0.0,460.0,84.0,376.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.45,101.0,101.0,101.0,69.0,17.0,21
142,chebyshevTest.py,2.0,2.0,2.0,1.0,11.0,0.0,8.0,3.0,1.0,14.0,13.0,219.0,22.0,120.0,18.0,102.0,78.0,2.0,0.0,102.0,18.0,84.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0,0.65,29.0,29.0,29.0,14.0,18.0,21
143,diffusionLimited.py,1.0,1.0,1.0,1.0,11.0,0.0,9.0,4.0,1.0,7.0,6.0,99.0,16.0,63.0,13.0,50.0,30.0,1.0,0.0,58.0,13.0,45.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,3.0,0.48,13.0,13.0,13.0,7.0,22.0,28
144,falloffTest.py,1.0,1.0,1.0,1.0,13.0,0.0,10.0,3.0,3.0,45.0,44.0,729.0,60.0,479.0,56.0,423.0,190.0,2.0,0.0,409.0,56.0,353.0,2.0,2.0,2.0,1.0,13.0,13.0,13.0,7.0,3.0,0.4,79.0,79.0,79.0,51.0,16.0,20
145,kineticsdataTest.py,2.0,2.0,2.0,1.0,11.0,0.0,7.0,3.0,2.0,24.0,24.0,344.0,32.0,197.0,32.0,165.0,115.0,0.0,0.0,174.0,32.0,142.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.58,48.0,48.0,48.0,24.0,16.0,20
147,tunnelingTest.py,1.0,1.0,1.0,1.0,8.0,0.0,5.0,3.0,2.0,13.0,13.0,178.0,21.0,75.0,20.0,55.0,82.0,0.0,0.0,68.0,20.0,48.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.09,15.0,15.0,15.0,13.0,16.0,20
149,adjlist.py,22.0,22.0,22.0,14.0,92.0,11.0,71.0,18.0,4.0,10.0,9.0,1012.0,133.0,681.0,24.0,657.0,220.0,1.0,0.0,595.0,20.0,575.0,1.0,1.0,1.0,1.0,81.0,81.0,81.0,59.0,6.0,0.32,220.0,220.0,220.0,147.0,38.0,53
150,adjlistTest.py,1.0,1.0,1.0,1.0,22.0,1.0,18.0,2.0,3.0,29.0,28.0,699.0,88.0,523.0,38.0,485.0,90.0,2.0,0.0,358.0,37.0,321.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.17,31.0,31.0,31.0,29.0,35.0,49
151,atomtype.py,6.0,6.0,6.0,1.0,32.0,0.0,15.0,3.0,2.0,9.0,8.0,410.0,52.0,267.0,11.0,256.0,91.0,4.0,1.0,215.0,11.0,204.0,4.0,4.0,4.0,1.0,51.0,51.0,51.0,1.0,3.0,0.34,62.0,62.0,62.0,9.0,55.0,67
152,atomtypeTest.py,1.0,1.0,1.0,1.0,13.0,0.0,10.0,3.0,2.0,16.0,15.0,266.0,34.0,172.0,22.0,150.0,62.0,2.0,0.0,120.0,22.0,98.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,1.0,1.0,0.36,26.0,26.0,26.0,16.0,29.0,39
153,atomtypedatabase.py,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,10.0,12.0,12.0,114.0,24.0,82.0,22.0,60.0,8.0,0.0,0.0,86.0,22.0,64.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,1.0,0.1,22.0,22.0,22.0,12.0,13.0,18
155,drawTest.py,2.0,2.0,2.0,1.0,10.0,0.0,9.0,3.0,1.0,6.0,5.0,93.0,12.0,56.0,19.0,37.0,25.0,2.0,0.0,56.0,19.0,37.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.45,14.0,14.0,14.0,6.0,19.0,27
156,element.py,2.0,2.0,2.0,2.0,30.0,0.0,6.0,4.0,2.0,6.0,5.0,287.0,25.0,165.0,10.0,155.0,97.0,1.0,0.0,155.0,10.0,145.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,3.0,0.59,13.0,13.0,13.0,12.0,38.0,43
157,elementTest.py,1.0,1.0,1.0,1.0,6.0,0.0,4.0,3.0,1.0,5.0,4.0,59.0,11.0,24.0,9.0,15.0,24.0,2.0,0.0,24.0,9.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,16.0,20
159,generatorTest.py,1.0,1.0,1.0,1.0,14.0,1.0,12.0,1.0,5.0,27.0,26.0,459.0,71.0,335.0,42.0,293.0,53.0,2.0,0.0,143.0,40.0,103.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.16,29.0,29.0,29.0,27.0,30.0,42
160,graphTest.py,2.0,2.0,2.0,1.0,19.0,1.0,15.0,3.0,1.0,28.0,27.0,584.0,74.0,411.0,31.0,380.0,107.0,2.0,0.0,344.0,31.0,313.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,1.0,3.0,0.26,83.0,83.0,83.0,28.0,22.0,34
161,group.py,3.0,3.0,3.0,2.0,12.0,0.0,7.0,5.0,4.0,55.0,55.0,872.0,84.0,435.0,65.0,373.0,358.0,0.0,0.0,428.0,64.0,364.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,5.0,0.82,190.0,190.0,190.0,164.0,82.0,109
162,groupTest.py,2.0,2.0,2.0,1.0,13.0,0.0,10.0,3.0,3.0,35.0,34.0,525.0,50.0,356.0,44.0,312.0,119.0,2.0,0.0,334.0,44.0,290.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,4.0,0.33,93.0,93.0,93.0,35.0,38.0,56
163,inchi.py,2.0,2.0,2.0,1.0,26.0,5.0,12.0,7.0,3.0,10.0,9.0,298.0,82.0,148.0,14.0,134.0,71.0,1.0,0.0,105.0,14.0,91.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,3.0,0.48,28.0,28.0,28.0,16.0,37.0,43
164,inchiTest.py,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,8.0,18.0,17.0,156.0,48.0,103.0,29.0,74.0,5.0,2.0,0.0,103.0,29.0,74.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.05,19.0,19.0,19.0,18.0,23.0,28
165,inchiparsingTest.py,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,48.0,47.0,320.0,71.0,241.0,60.0,181.0,10.0,2.0,0.0,215.0,57.0,158.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.04,52.0,52.0,52.0,48.0,28.0,37
166,isomorphismTest.py,1.0,1.0,1.0,1.0,15.0,2.0,11.0,2.0,0.0,30.0,29.0,420.0,88.0,282.0,40.0,242.0,64.0,2.0,0.0,213.0,40.0,173.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,2.0,0.23,52.0,52.0,52.0,30.0,33.0,40
168,moleculeTest.py,1.0,1.0,1.0,1.0,14.0,0.0,10.0,3.0,3.0,108.0,107.0,1714.0,215.0,1149.0,123.0,1026.0,362.0,2.0,0.0,793.0,122.0,671.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,4.0,0.32,199.0,199.0,199.0,108.0,59.0,83
170,parserTest.py,3.0,3.0,3.0,1.0,15.0,1.0,12.0,2.0,2.0,4.0,4.0,76.0,15.0,53.0,9.0,44.0,8.0,0.0,0.0,47.0,9.0,38.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,4.0,0.15,13.0,13.0,13.0,4.0,29.0,40
