index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
65,thermo.py,2.0,2.0,2.0,1.0,17.0,0.0,12.0,4.0,6.0,71.0,71.0,1510.0,169.0,899.0,85.0,814.0,450.0,0.0,0.0,765.0,85.0,680.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,12.0,5.0,0.5,154.0,154.0,154.0,86.0,226.0,0
66,setup.py,2.0,2.0,2.0,1.0,18.0,0.0,11.0,0.0,0.0,4.0,3.0,131.0,15.0,76.0,9.0,67.0,40.0,40.0,2.0,35.0,9.0,26.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,1.0,1.0,0.53,11.0,11.0,11.0,4.0,0.0,0
68,gaussianTest.py,1.0,1.0,1.0,1.0,17.0,4.0,17.0,4.0,1.0,3.0,2.0,71.0,15.0,41.0,7.0,34.0,15.0,2.0,0.0,41.0,7.0,34.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.37,4.0,4.0,4.0,3.0,97.0,0
69,geometryTest.py,2.0,2.0,2.0,1.0,30.0,5.0,24.0,7.0,1.0,5.0,4.0,168.0,31.0,102.0,9.0,93.0,35.0,2.0,0.0,102.0,9.0,93.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.34,10.0,10.0,10.0,5.0,8.0,0
72,statesTest.py,6.0,6.0,6.0,1.0,24.0,7.0,30.0,9.0,1.0,2.0,1.0,69.0,16.0,40.0,8.0,32.0,13.0,2.0,0.0,40.0,8.0,32.0,2.0,2.0,2.0,1.0,11.0,11.0,11.0,1.0,3.0,0.33,13.0,13.0,13.0,2.0,0.0,0
73,statesfitTest.py,3.0,3.0,3.0,1.0,24.0,5.0,19.0,3.0,1.0,7.0,6.0,209.0,49.0,130.0,18.0,112.0,30.0,2.0,0.0,135.0,18.0,117.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,0.23,23.0,23.0,23.0,7.0,0.0,0
75,kineticsTest.py,1.0,1.0,1.0,1.0,18.0,0.0,14.0,3.0,11.0,58.0,57.0,1250.0,139.0,856.0,81.0,775.0,261.0,2.0,0.0,705.0,81.0,624.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,4.0,3.0,0.3,114.0,114.0,114.0,76.0,78.0,0
77,atomtypeTest.py,4.0,4.0,4.0,1.0,13.0,0.0,15.0,3.0,1.0,3.0,2.0,62.0,9.0,36.0,7.0,29.0,17.0,2.0,0.0,36.0,7.0,29.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,1.0,1.0,0.47,12.0,12.0,12.0,3.0,81.0,0
78,elementTest.py,1.0,1.0,1.0,1.0,6.0,0.0,4.0,3.0,1.0,5.0,4.0,59.0,11.0,24.0,9.0,15.0,24.0,2.0,0.0,24.0,9.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,24.0,0
79,graphTest.py,2.0,2.0,2.0,1.0,17.0,1.0,13.0,3.0,1.0,25.0,24.0,481.0,66.0,322.0,28.0,294.0,98.0,2.0,0.0,333.0,28.0,305.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,3.0,0.3,63.0,63.0,63.0,25.0,38.0,0
80,groupTest.py,2.0,2.0,2.0,1.0,12.0,0.0,9.0,3.0,3.0,37.0,36.0,539.0,52.0,362.0,45.0,317.0,125.0,2.0,0.0,341.0,45.0,296.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,0.35,92.0,92.0,92.0,37.0,66.0,0
81,moleculeTest.py,1.0,1.0,1.0,1.0,10.0,0.0,7.0,3.0,3.0,81.0,80.0,940.0,105.0,579.0,90.0,489.0,262.0,2.0,0.0,512.0,90.0,422.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,3.0,0.45,160.0,160.0,160.0,81.0,133.0,0
82,symmetryTest.py,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,42.0,41.0,344.0,48.0,158.0,45.0,113.0,142.0,2.0,0.0,158.0,45.0,113.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,0.9,68.0,68.0,68.0,42.0,79.0,0
83,quantityTest.py,1.0,1.0,1.0,1.0,12.0,0.0,10.0,2.0,3.0,29.0,28.0,429.0,40.0,294.0,36.0,258.0,95.0,2.0,0.0,294.0,36.0,258.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.32,33.0,33.0,33.0,29.0,54.0,0
84,reactionTest.py,1.0,1.0,1.0,1.0,12.0,0.0,9.0,2.0,3.0,27.0,26.0,386.0,48.0,258.0,38.0,220.0,80.0,2.0,0.0,237.0,38.0,199.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,0.31,45.0,45.0,45.0,27.0,66.0,0
85,atomtest.py,3.0,3.0,3.0,1.0,13.0,1.0,9.0,3.0,3.0,12.0,11.0,204.0,38.0,119.0,17.0,102.0,49.0,2.0,0.0,114.0,17.0,97.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,1.0,6.0,0.41,45.0,45.0,45.0,12.0,12.0,0
86,bondtest.py,3.0,3.0,3.0,1.0,14.0,0.0,13.0,3.0,2.0,6.0,5.0,125.0,23.0,74.0,10.0,64.0,28.0,2.0,0.0,68.0,10.0,58.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,2.0,0.38,20.0,20.0,20.0,6.0,12.0,0
87,canteraloadertest.py,2.0,2.0,2.0,1.0,19.0,3.0,14.0,4.0,1.0,11.0,10.0,273.0,58.0,163.0,29.0,134.0,60.0,2.0,0.0,156.0,29.0,127.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,3.0,2.0,0.37,30.0,30.0,30.0,13.0,0.0,0
88,datatest.py,6.0,6.0,6.0,1.0,22.0,5.0,28.0,8.0,1.0,2.0,1.0,65.0,16.0,37.0,6.0,31.0,12.0,2.0,0.0,37.0,6.0,31.0,2.0,2.0,2.0,1.0,10.0,10.0,10.0,1.0,3.0,0.32,12.0,12.0,12.0,2.0,24.0,0
89,graphtest.py,2.0,2.0,2.0,1.0,30.0,5.0,19.0,8.0,2.0,12.0,11.0,400.0,77.0,227.0,17.0,210.0,96.0,2.0,0.0,236.0,17.0,219.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,2.0,0.42,28.0,28.0,28.0,12.0,12.0,0
90,kineticstest.py,4.0,4.0,4.0,1.0,14.0,4.0,12.0,2.0,1.0,4.0,3.0,80.0,24.0,46.0,9.0,37.0,10.0,2.0,0.0,62.0,9.0,53.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,1.0,2.0,0.22,16.0,16.0,16.0,4.0,0.0,0
91,reactiontest.py,2.0,2.0,2.0,1.0,38.0,5.0,24.0,5.0,2.0,10.0,9.0,440.0,82.0,300.0,20.0,280.0,59.0,2.0,0.0,185.0,20.0,165.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,1.0,2.0,0.2,28.0,28.0,28.0,10.0,0.0,0
92,restarttest.py,2.0,2.0,2.0,1.0,19.0,1.0,12.0,7.0,1.0,10.0,9.0,241.0,31.0,134.0,31.0,103.0,76.0,2.0,0.0,157.0,31.0,126.0,2.0,2.0,2.0,1.0,10.0,10.0,10.0,1.0,3.0,0.57,23.0,23.0,23.0,10.0,0.0,0
93,simulationtest.py,1.0,1.0,1.0,1.0,24.0,5.0,16.0,4.0,1.0,10.0,9.0,289.0,73.0,169.0,20.0,149.0,50.0,2.0,0.0,169.0,20.0,149.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.3,17.0,17.0,17.0,10.0,0.0,0
94,speciestest.py,2.0,2.0,2.0,1.0,10.0,2.0,10.0,1.0,1.0,3.0,2.0,51.0,14.0,30.0,8.0,22.0,7.0,2.0,0.0,30.0,8.0,22.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.23,6.0,6.0,6.0,3.0,0.0,0
95,spectraltest.py,3.0,3.0,3.0,1.0,25.0,5.0,22.0,3.0,1.0,5.0,4.0,157.0,38.0,101.0,12.0,89.0,18.0,2.0,0.0,97.0,12.0,85.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,0.18,16.0,16.0,16.0,5.0,0.0,0
96,structuretest.py,3.0,3.0,3.0,1.0,26.0,1.0,21.0,3.0,1.0,15.0,14.0,440.0,57.0,336.0,19.0,317.0,73.0,2.0,0.0,246.0,19.0,227.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,1.0,2.0,0.22,53.0,53.0,53.0,15.0,12.0,0
98,thermotest.py,1.0,1.0,1.0,1.0,15.0,2.0,9.0,4.0,5.0,31.0,30.0,581.0,115.0,344.0,47.0,297.0,140.0,2.0,0.0,333.0,47.0,286.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.41,44.0,44.0,44.0,31.0,12.0,0
99,simpleTest.py,2.0,2.0,2.0,1.0,35.0,7.0,50.0,9.0,1.0,2.0,1.0,93.0,15.0,65.0,12.0,53.0,13.0,2.0,0.0,57.0,12.0,45.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.2,4.0,4.0,4.0,2.0,59.0,0
100,speciesTest.py,1.0,1.0,1.0,1.0,15.0,0.0,15.0,3.0,1.0,5.0,4.0,107.0,11.0,72.0,12.0,60.0,24.0,2.0,0.0,51.0,12.0,39.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.33,6.0,6.0,6.0,5.0,73.0,0
101,statmechTest.py,1.0,1.0,1.0,1.0,10.0,0.0,6.0,3.0,6.0,44.0,43.0,558.0,83.0,281.0,59.0,222.0,194.0,2.0,0.0,286.0,59.0,227.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.69,79.0,79.0,79.0,44.0,15.0,0
102,test.py,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,6.0,15.0,14.0,1.0,5.0,1.0,0.0,15.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33,1.0,1.0,1.0,1.0,2.0,0
103,thermoTest.py,1.0,1.0,1.0,1.0,15.0,0.0,12.0,3.0,6.0,36.0,35.0,647.0,52.0,443.0,48.0,395.0,152.0,2.0,0.0,389.0,48.0,341.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.34,52.0,52.0,52.0,36.0,125.0,0
104,__future__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,_collections_abc.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
106,_compat_pickle.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
107,_compression.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108,_dummy_thread.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,_py_abc.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110,_pydecimal.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,_sitebuiltins.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,_threading_local.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
113,_weakrefset.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
115,argparse.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
116,ast.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
117,base64.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
