index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
56,DCD.py,1.0,1.0,1.0,1.0,17.0,1.0,9.0,6.0,2.0,16.0,16.0,435.0,63.0,183.0,52.0,131.0,190.0,0.0,0.0,139.0,33.0,106.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,2.0,1.04,31.0,31.0,31.0,18.0,0.0
57,DLPoly.py,3.0,3.0,3.0,1.0,16.0,2.0,14.0,1.0,3.0,12.0,11.0,270.0,47.0,179.0,23.0,156.0,50.0,1.0,0.0,167.0,19.0,148.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,1.0,4.0,0.28,44.0,44.0,44.0,12.0,0.0
58,DMS.py,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,2.0,8.0,8.0,134.0,22.0,74.0,17.0,57.0,41.0,0.0,0.0,67.0,15.0,52.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.55,14.0,14.0,14.0,8.0,0.0
59,GMS.py,3.0,3.0,3.0,2.0,14.0,1.0,11.0,1.0,1.0,12.0,12.0,268.0,49.0,152.0,22.0,130.0,74.0,0.0,0.0,144.0,19.0,125.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,10.0,3.0,0.49,43.0,43.0,43.0,33.0,0.0
60,GRO.py,4.0,4.0,4.0,1.0,36.0,5.0,21.0,11.0,3.0,7.0,7.0,420.0,81.0,179.0,22.0,157.0,171.0,0.0,0.0,138.0,20.0,118.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,4.0,3.0,0.96,33.0,33.0,33.0,13.0,0.0
61,GSD.py,1.0,1.0,1.0,1.0,9.0,0.0,5.0,2.0,1.0,7.0,7.0,127.0,22.0,47.0,13.0,34.0,58.0,0.0,0.0,43.0,12.0,31.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,1.23,10.0,10.0,10.0,9.0,0.0
62,INPCRD.py,3.0,3.0,3.0,1.0,16.0,1.0,13.0,1.0,1.0,2.0,2.0,84.0,16.0,34.0,7.0,27.0,34.0,0.0,0.0,32.0,6.0,26.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,3.0,1.00,7.0,7.0,7.0,2.0,0.0
63,LAMMPS.py,3.0,3.0,3.0,2.0,19.0,2.0,16.0,3.0,4.0,12.0,11.0,437.0,73.0,203.0,27.0,176.0,166.0,1.0,0.0,176.0,26.0,150.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,4.0,3.0,0.82,46.0,46.0,46.0,25.0,0.0
64,MMTF.py,1.0,1.0,1.0,1.0,14.0,3.0,6.0,5.0,1.0,3.0,3.0,100.0,25.0,26.0,8.0,18.0,49.0,0.0,0.0,23.0,8.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.88,5.0,5.0,5.0,3.0,0.0
65,MOL2.py,2.0,2.0,2.0,1.0,20.0,2.0,13.0,4.0,2.0,10.0,10.0,377.0,77.0,146.0,17.0,129.0,157.0,0.0,0.0,117.0,17.0,100.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,3.0,1.08,28.0,28.0,28.0,17.0,0.0
