index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,fastread_bugs
47,XTC.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,11.0,8.0,4.0,4.0,36.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,52
50,libxdrfile.py,1.0,1.0,1.0,1.0,5.0,0.0,3.0,0.0,1.0,18.0,17.0,450.0,108.0,97.0,23.0,75.0,246.0,8.0,1.0,101.0,23.0,78.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,2.54,31.0,31.0,31.0,27.0,0.0,3
51,statno.py,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,9.0,4.0,1.0,3.0,29.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.25,1.0,1.0,1.0,1.0,0.0,15
52,AtomGroup.py,1.0,1.0,1.0,1.0,15.0,2.0,5.0,7.0,7.0,129.0,128.0,2733.0,558.0,834.0,185.0,649.0,1370.0,1.0,0.0,740.0,162.0,578.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,4.0,3.0,1.64,257.0,257.0,257.0,167.0,0.0,86
53,Selection.py,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,30.0,78.0,77.0,682.0,65.0,502.0,116.0,386.0,134.0,2.0,0.0,456.0,116.0,340.0,2.0,2.0,2.0,1.0,23.0,23.0,23.0,19.0,3.0,0.27,139.0,139.0,139.0,98.0,0.0,31
54,Timeseries.py,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,10.0,35.0,35.0,337.0,58.0,146.0,47.0,100.0,133.0,0.0,0.0,148.0,46.0,102.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,0.91,61.0,61.0,61.0,44.0,0.0,31
58,transformations.py,2.0,2.0,2.0,1.0,27.0,2.0,13.0,11.0,1.0,55.0,54.0,1824.0,287.0,764.0,66.0,698.0,776.0,2.0,0.0,681.0,64.0,617.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,5.0,4.0,1.02,154.0,154.0,154.0,87.0,0.0,33
63,charmm.py,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,57.0,12.0,16.0,6.0,10.0,30.0,0.0,0.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.88,4.0,4.0,4.0,4.0,0.0,30
64,gromacs.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,49.0,11.0,9.0,4.0,5.0,29.0,0.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.22,2.0,2.0,2.0,2.0,0.0,26
65,pymol.py,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,56.0,12.0,14.0,5.0,9.0,32.0,0.0,0.0,14.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.29,3.0,3.0,3.0,3.0,0.0,26
66,vmd.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,52.0,10.0,13.0,5.0,8.0,30.0,0.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.31,3.0,3.0,3.0,3.0,0.0,26
69,CRDParser.py,4.0,4.0,4.0,3.0,25.0,5.0,33.0,12.0,0.0,2.0,1.0,85.0,14.0,38.0,4.0,34.0,34.0,1.0,0.0,35.0,4.0,31.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,6.0,4.0,0.89,9.0,9.0,9.0,7.0,0.0,28
70,DMSParser.py,1.0,1.0,1.0,1.0,29.0,5.0,16.0,8.0,1.0,2.0,2.0,88.0,17.0,32.0,6.0,26.0,39.0,0.0,0.0,23.0,6.0,17.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.22,3.0,3.0,3.0,2.0,0.0,32
71,GROParser.py,8.0,8.0,8.0,4.0,67.0,7.0,33.0,27.0,1.0,1.0,1.0,101.0,14.0,38.0,5.0,33.0,49.0,0.0,0.0,36.0,5.0,31.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,4.0,4.0,1.29,8.0,8.0,8.0,4.0,0.0,42
72,LAMMPSParser.py,3.0,3.0,3.0,1.0,12.0,0.0,10.0,2.0,3.0,13.0,12.0,238.0,27.0,142.0,18.0,124.0,69.0,1.0,0.0,138.0,18.0,120.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,7.0,6.0,0.49,39.0,39.0,39.0,22.0,0.0,45
