,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
30,src/partitioning/parmetis_partitioner.C,58f4a56,57.0,143.0,57.0,72.0,168.0,76.0,2.0,2.0,2.0,1.0,250.0,6.0,17.0,3.0,0.0,,1.0,308.0,21.0,20.0,6.0,10.0,21.0,233.0,23.0,,,8.0,11.0,3.0,0.0,8.0,,,,,2.0,2.0,2.0,1.0,1.0,1.05,2.0,2.0,2.0,1.0,1.0
31,src/base/dof_map.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
32,src/base/dof_map_constraints.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
33,src/fe/fe_map.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
34,src/fe/fe_xyz_map.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
35,src/fe/inf_fe_map.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
36,examples/systems_of_equations/systems_of_equations_ex5/systems_of_equations_ex5.C,58f4a56,26.0,71.0,11.0,94.0,244.0,65.0,10.0,10.0,10.0,1.0,107.0,26.0,70.0,11.0,0.0,,3.0,402.0,94.0,216.0,83.0,148.0,65.0,1.0,27.0,,,172.0,197.0,72.0,1.0,124.0,,,,,22.0,22.0,22.0,1.0,8.0,0.30,30.0,30.0,30.0,3.0,1.0
37,src/mesh/mesh_tetgen_interface.C,58f4a56,0.0,0.0,0.0,126.0,224.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,479.0,4.0,0.0,0.0,0.0,14.0,459.0,10.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
38,src/mesh/parallel_mesh_iterators.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
39,src/mesh/serial_mesh_iterators.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
40,src/error_estimation/exact_solution.C,58f4a56,5.0,21.0,6.0,192.0,515.0,166.0,4.0,4.0,4.0,1.0,33.0,5.0,20.0,6.0,0.0,,23.0,870.0,189.0,469.0,144.0,290.0,158.0,34.0,23.0,,,230.0,326.0,104.0,1.0,221.0,,,,,28.0,28.0,34.0,16.0,5.0,0.34,92.0,81.0,98.0,38.0,1.0
41,src/error_estimation/weighted_patch_recovery_estimator.C,58f4a56,64.0,285.0,83.0,141.0,591.0,186.0,43.0,43.0,73.0,4.0,425.0,61.0,222.0,80.0,0.0,,2.0,899.0,134.0,446.0,104.0,310.0,179.0,100.0,73.0,,,243.0,329.0,95.0,1.0,233.0,,,,,82.0,82.0,140.0,7.0,6.0,0.40,85.0,85.0,145.0,8.0,1.0
42,src/reduced_basis/derived_rb_evaluation.C,58f4a56,3.0,20.0,1.0,33.0,118.0,21.0,3.0,3.0,3.0,1.0,24.0,3.0,20.0,1.0,0.0,,5.0,169.0,33.0,114.0,37.0,47.0,21.0,0.0,4.0,,,54.0,74.0,26.0,0.0,48.0,,,,,6.0,6.0,6.0,1.0,3.0,0.18,15.0,15.0,15.0,5.0,1.0
43,src/fe/fe_xyz_shape_1D.C,58f4a56,7.0,31.0,5.0,68.0,186.0,42.0,6.0,3.0,6.0,1.0,43.0,7.0,31.0,5.0,0.0,,5.0,295.0,68.0,184.0,66.0,106.0,42.0,0.0,2.0,,,90.0,129.0,40.0,0.0,89.0,,,,,9.0,5.0,9.0,1.0,2.0,0.23,29.0,17.0,29.0,5.0,1.0
44,examples/systems_of_equations/systems_of_equations_ex4/systems_of_equations_ex4.C,58f4a56,25.0,61.0,10.0,90.0,217.0,56.0,8.0,8.0,8.0,1.0,95.0,25.0,60.0,10.0,0.0,,3.0,361.0,90.0,188.0,70.0,129.0,56.0,1.0,28.0,,,150.0,169.0,61.0,1.0,107.0,,,,,16.0,16.0,16.0,1.0,6.0,0.30,24.0,24.0,24.0,3.0,1.0
45,src/numerics/laspack_vector.C,58f4a56,0.0,0.0,0.0,173.0,313.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,515.0,9.0,0.0,0.0,0.0,17.0,483.0,18.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
46,src/systems/system_subset_by_subdomain.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
47,src/partitioning/sfc_partitioner.C,58f4a56,39.0,82.0,25.0,51.0,99.0,43.0,2.0,2.0,2.0,1.0,146.0,8.0,16.0,3.0,0.0,,1.0,192.0,20.0,19.0,6.0,9.0,21.0,122.0,13.0,,,7.0,10.0,3.0,0.0,7.0,,,,,2.0,2.0,2.0,1.0,1.0,1.11,2.0,2.0,2.0,1.0,1.0
48,src/numerics/petsc_vector.C,58f4a56,0.0,0.0,0.0,371.0,900.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1425.0,8.0,0.0,0.0,0.0,16.0,1398.0,49.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
49,src/systems/fem_system.C,58f4a56,5.0,22.0,4.0,201.0,630.0,161.0,4.0,4.0,5.0,1.0,31.0,5.0,21.0,4.0,4.0,,26.0,985.0,201.0,581.0,128.0,375.0,159.0,21.0,30.0,,,290.0,391.0,98.0,2.0,291.0,,,,,18.0,18.0,25.0,4.0,5.0,0.27,98.0,98.0,125.0,38.0,1.0
