,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
9479,branches/trumanellis/libmesh/src/numerics/sparse_matrix.C,c2e4cf7,3.0,33.0,2.0,43.0,181.0,30.0,16.0,16.0,17.0,1.0,38.0,3.0,29.0,2.0,0.0,5.0,253.0,43.0,153.0,31.0,80.0,30.0,15.0,13.0,138.0,175.0,21.0,2.0,152.0,71.0,71.0,75.0,4.0,6.0,0.20,81.0,82.0,85.0,8.0,0.0
9480,branches/trumanellis/libmesh/src/quadrature/quadrature_gauss_1D.C,c2e4cf7,84.0,674.0,3.0,99.0,678.0,20.0,48.0,5.0,48.0,1.0,760.0,84.0,674.0,3.0,0.0,1.0,795.0,99.0,677.0,5.0,622.0,20.0,0.0,1.0,579.0,626.0,2.0,0.0,624.0,48.0,5.0,48.0,1.0,3.0,0.03,48.0,5.0,48.0,1.0,0.0
9481,branches/trumanellis/libmesh/contrib/metis/Lib/kwayrefine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9482,branches/trumanellis/libmesh/contrib/metis/Lib/kwayvolrefine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9483,branches/trumanellis/libmesh/contrib/metis/Lib/mkwayrefine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9484,branches/trumanellis/libmesh/contrib/metis/Lib/mrefine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9485,branches/trumanellis/libmesh/contrib/metis/Lib/refine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9486,branches/trumanellis/libmesh/contrib/metis/Lib/srefine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9487,branches/trumanellis/libmesh/contrib/parmetis/Lib/kwayrefine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9488,branches/trumanellis/libmesh/contrib/parmetis/Lib/node_refine.c,c2e4cf7,8.0,33.0,2.0,41.0,133.0,31.0,6.0,6.0,7.0,1.0,42.0,8.0,33.0,2.0,0.0,4.0,204.0,41.0,132.0,15.0,94.0,31.0,0.0,1.0,111.0,136.0,15.0,15.0,106.0,10.0,10.0,10.0,3.0,5.0,0.23,24.0,24.0,26.0,6.0,0.0
9489,branches/trumanellis/libmesh/src/mesh/mesh_modification.C,c2e4cf7,18.0,68.0,33.0,254.0,763.0,392.0,22.0,20.0,22.0,1.0,117.0,17.0,64.0,30.0,0.0,10.0,1384.0,227.0,644.0,151.0,445.0,336.0,176.0,21.0,528.0,650.0,116.0,13.0,521.0,64.0,62.0,65.0,4.0,10.0,0.52,215.0,203.0,220.0,17.0,0.0
9490,branches/trumanellis/libmesh/src/error_estimation/patch_recovery_error_estimator.C,c2e4cf7,29.0,157.0,42.0,135.0,648.0,191.0,38.0,37.0,53.0,2.0,224.0,28.0,131.0,41.0,0.0,4.0,953.0,130.0,527.0,113.0,343.0,186.0,70.0,73.0,359.0,469.0,101.0,3.0,365.0,131.0,131.0,188.0,7.0,7.0,0.35,151.0,149.0,210.0,10.0,0.0
