index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
15686,sfc_partitioner.C,36.0,82.0,12.0,47.0,95.0,30.0,3.0,3.0,3.0,1.0,130.0,8.0,16.0,3.0,0.0,1.0,172.0,19.0,16.0,3.0,9.0,21.0,106.0,12.0,8.0,10.0,2.0,1.0,7.0,3.0,3.0,3.0,1.0,1.0,1.31,3.0,3.0,3.0,1.0,21,22.0,21
15687,hilbert.c,11.0,51.0,5.0,47.0,157.0,19.0,10.0,7.0,10.0,1.0,63.0,11.0,51.0,5.0,0.0,3.0,212.0,47.0,152.0,40.0,113.0,19.0,0.0,5.0,123.0,146.0,29.0,0.0,117.0,18.0,11.0,18.0,1.0,3.0,0.12,29.0,22.0,29.0,3.0,2,5.0,2
15688,memory.c,2.0,11.0,3.0,41.0,108.0,76.0,1.0,1.0,1.0,1.0,14.0,2.0,11.0,3.0,0.0,10.0,208.0,41.0,107.0,11.0,69.0,76.0,0.0,1.0,62.0,74.0,11.0,8.0,55.0,3.0,3.0,3.0,1.0,1.0,0.71,12.0,12.0,12.0,10.0,4,10.0,4
15689,tetgen.C,3.0,45.0,9.0,1668.0,15848.0,6241.0,9.0,9.0,11.0,3.0,56.0,3.0,45.0,8.0,0.0,348.0,23489.0,1662.0,15742.0,1531.0,11442.0,6222.0,93.0,38.0,9949.0,12894.0,1432.0,2.0,11460.0,76.0,76.0,137.0,47.0,10.0,0.4,3266.0,3231.0,3710.0,1051.0,2,7.0,4
15690,cell_prism.C,10.0,54.0,6.0,19.0,57.0,24.0,7.0,3.0,7.0,1.0,65.0,10.0,54.0,6.0,0.0,1.0,95.0,19.0,54.0,3.0,35.0,24.0,0.0,3.0,34.0,42.0,4.0,2.0,36.0,7.0,3.0,7.0,1.0,1.0,0.44,7.0,3.0,7.0,1.0,16,22.0,18
15691,linear_solver.C,8.0,28.0,1.0,24.0,35.0,21.0,1.0,2.0,1.0,1.0,37.0,8.0,14.0,1.0,0.0,1.0,80.0,24.0,16.0,4.0,7.0,21.0,10.0,9.0,7.0,10.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.31,1.0,2.0,1.0,1.0,19,24.0,22
15692,quadrature_clough_1D.C,2.0,8.0,0.0,15.0,10.0,16.0,1.0,1.0,1.0,1.0,10.0,2.0,8.0,0.0,0.0,1.0,41.0,15.0,8.0,2.0,4.0,16.0,0.0,2.0,5.0,6.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,9,12.0,11
15693,dense_subvector.C,0.0,0.0,0.0,8.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,1.0,0.0,0.0,17.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,9,11.0,10
15694,dense_vector_base.C,3.0,13.0,2.0,20.0,34.0,23.0,2.0,2.0,2.0,1.0,18.0,2.0,9.0,2.0,0.0,2.0,76.0,18.0,21.0,6.0,12.0,22.0,9.0,8.0,9.0,13.0,5.0,0.0,8.0,2.0,2.0,2.0,1.0,1.0,1.05,4.0,4.0,4.0,2.0,11,15.0,13
15695,cell_hex20.C,8.0,42.0,3.0,78.0,361.0,215.0,5.0,4.0,5.0,1.0,51.0,8.0,42.0,3.0,0.0,3.0,482.0,46.0,127.0,6.0,97.0,26.0,284.0,5.0,96.0,110.0,6.0,6.0,98.0,8.0,4.0,8.0,1.0,1.0,0.2,16.0,11.0,16.0,3.0,17,22.0,18
15696,kwayrefine.c,21.0,74.0,14.0,48.0,151.0,45.0,15.0,15.0,15.0,4.0,106.0,21.0,65.0,14.0,0.0,2.0,239.0,48.0,129.0,16.0,89.0,45.0,7.0,15.0,113.0,143.0,16.0,14.0,113.0,17.0,17.0,17.0,7.0,6.0,0.35,30.0,30.0,30.0,8.0,4,10.0,4
15697,itersolv.c,8.0,86.0,10.0,129.0,1138.0,145.0,15.0,15.0,18.0,3.0,104.0,8.0,86.0,10.0,0.0,13.0,1408.0,127.0,1117.0,88.0,914.0,142.0,11.0,15.0,726.0,920.0,75.0,0.0,845.0,34.0,34.0,37.0,15.0,4.0,0.13,195.0,195.0,239.0,47.0,2,5.0,2
15698,quadrature_simpson_3D.C,28.0,67.0,29.0,40.0,68.0,44.0,9.0,2.0,9.0,1.0,122.0,28.0,65.0,29.0,0.0,1.0,150.0,40.0,65.0,4.0,49.0,44.0,0.0,3.0,61.0,71.0,4.0,2.0,65.0,9.0,2.0,9.0,1.0,1.0,0.68,9.0,2.0,9.0,1.0,10,14.0,12
15699,mmd.c,10.0,72.0,17.0,57.0,360.0,196.0,18.0,18.0,18.0,9.0,94.0,10.0,72.0,17.0,0.0,5.0,593.0,57.0,359.0,21.0,274.0,196.0,0.0,1.0,303.0,393.0,10.0,39.0,344.0,37.0,37.0,37.0,22.0,7.0,0.55,90.0,90.0,92.0,45.0,2,5.0,2
15700,cell_pyramid5.C,3.0,14.0,3.0,47.0,134.0,55.0,3.0,3.0,3.0,1.0,18.0,3.0,14.0,3.0,0.0,8.0,218.0,47.0,129.0,39.0,76.0,55.0,0.0,5.0,62.0,84.0,19.0,4.0,61.0,7.0,5.0,7.0,3.0,2.0,0.43,26.0,21.0,26.0,12.0,18,23.0,19
15701,GUI.h,0.0,0.0,0.0,80.0,222.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,80.0,185.0,185.0,0.0,22.0,17.0,37.0,66.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2,5.0,2
15702,NEW_stats.c,6.0,17.0,0.0,10.0,18.0,16.0,3.0,3.0,3.0,1.0,23.0,6.0,17.0,0.0,0.0,1.0,44.0,10.0,17.0,4.0,10.0,16.0,0.0,1.0,15.0,18.0,4.0,0.0,14.0,3.0,3.0,3.0,1.0,2.0,0.94,3.0,3.0,3.0,1.0,0,0.0,0
15703,fe_monomial_shape_2D.C,17.0,49.0,6.0,90.0,203.0,39.0,17.0,4.0,17.0,13.0,72.0,17.0,48.0,6.0,0.0,4.0,332.0,90.0,196.0,26.0,142.0,39.0,0.0,7.0,87.0,154.0,8.0,8.0,138.0,40.0,7.0,40.0,34.0,3.0,0.2,66.0,15.0,66.0,53.0,12,15.0,13
15704,cmp.c,4.0,11.0,0.0,5.0,12.0,0.0,7.0,7.0,7.0,7.0,15.0,4.0,11.0,0.0,0.0,1.0,17.0,5.0,11.0,2.0,8.0,0.0,0.0,1.0,8.0,15.0,2.0,0.0,13.0,7.0,7.0,7.0,7.0,1.0,0.0,7.0,7.0,7.0,7.0,2,5.0,2
15705,ex5.C,45.0,69.0,69.0,125.0,158.0,195.0,9.0,9.0,9.0,1.0,180.0,45.0,69.0,69.0,0.0,2.0,472.0,125.0,144.0,65.0,94.0,195.0,0.0,14.0,103.0,119.0,53.0,2.0,64.0,14.0,14.0,14.0,1.0,6.0,1.35,18.0,18.0,18.0,2.0,2,6.0,2
15706,factory.h,1.0,4.0,0.0,43.0,51.0,49.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,0.0,2.0,6.0,143.0,43.0,44.0,20.0,13.0,49.0,0.0,7.0,16.0,25.0,13.0,0.0,12.0,3.0,3.0,3.0,1.0,2.0,1.11,10.0,10.0,10.0,6.0,11,15.0,12
15707,type_vector.C,3.0,13.0,1.0,55.0,123.0,24.0,2.0,2.0,2.0,2.0,16.0,2.0,9.0,1.0,0.0,6.0,201.0,48.0,63.0,16.0,33.0,24.0,48.0,19.0,20.0,33.0,10.0,0.0,23.0,4.0,4.0,4.0,4.0,2.0,0.38,13.0,13.0,13.0,12.0,11,13.0,12
15708,elem_refinement.C,0.0,0.0,0.0,67.0,158.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,13.0,0.0,0.0,0.0,24.0,251.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,18.0,15
15709,operats.c,7.0,60.0,2.0,203.0,1508.0,70.0,12.0,12.0,15.0,1.0,69.0,6.0,57.0,2.0,0.0,25.0,1779.0,188.0,1422.0,125.0,1090.0,70.0,80.0,23.0,908.0,1197.0,124.0,0.0,1073.0,58.0,58.0,80.0,1.0,10.0,0.05,289.0,289.0,375.0,25.0,2,5.0,2
15710,timer.c,1.0,17.0,1.0,14.0,52.0,24.0,1.0,1.0,2.0,1.0,19.0,1.0,17.0,1.0,0.0,3.0,90.0,14.0,51.0,4.0,41.0,24.0,0.0,1.0,40.0,44.0,4.0,0.0,40.0,2.0,2.0,3.0,1.0,1.0,0.47,4.0,4.0,5.0,3.0,2,5.0,2
