index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,fastread_bugs
5096,face_tri3.h,0.0,2.0,0.0,36.0,32.0,55.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,123.0,33.0,20.0,14.0,7.0,48.0,15.0,7.0,9.0,14.0,10.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.4,5.0,5.0,5.0,5.0,0.0,20
5097,face_inf_quad4.h,0.0,0.0,0.0,38.0,37.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,9.0,0.0,0.0,0.0,15.0,113.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
5118,plt_loader.h,1.0,5.0,0.0,192.0,263.0,256.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,32.0,710.0,192.0,257.0,140.0,81.0,256.0,0.0,6.0,135.0,166.0,88.0,0.0,78.0,1.0,1.0,1.0,1.0,0.0,1.0,32.0,32.0,32.0,32.0,0.0,8
5122,cell_hex.h,0.0,2.0,0.0,35.0,25.0,67.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,127.0,35.0,21.0,16.0,5.0,67.0,0.0,4.0,12.0,17.0,12.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,3.19,6.0,6.0,6.0,6.0,0.0,17
5132,kelly_error_estimator.h,0.0,1.0,0.0,25.0,15.0,37.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,77.0,25.0,9.0,5.0,0.0,37.0,0.0,6.0,3.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.11,2.0,2.0,2.0,2.0,0.0,16
5141,function_base.h,0.0,5.0,1.0,39.0,38.0,83.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,2.0,160.0,39.0,33.0,22.0,7.0,83.0,0.0,5.0,15.0,16.0,14.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.52,2.0,2.0,2.0,2.0,0.0,13
5154,enum_solver_package.h,0.0,0.0,0.0,24.0,17.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,24.0,7.0,8.0,0.0,27.0,2.0,8.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,10
5158,dof_object.h,2.0,8.0,1.0,123.0,180.0,179.0,2.0,2.0,2.0,1.0,10.0,1.0,6.0,0.0,1.0,14.0,481.0,112.0,152.0,83.0,46.0,169.0,36.0,13.0,78.0,101.0,55.0,0.0,46.0,7.0,7.0,7.0,1.0,4.0,1.11,34.0,34.0,34.0,14.0,0.0,30
5365,quadrature_3D.C,97.0,237.0,27.0,409.0,949.0,124.0,31.0,16.0,31.0,13.0,361.0,97.0,235.0,27.0,0.0,4.0,1481.0,409.0,939.0,108.0,662.0,124.0,0.0,10.0,706.0,837.0,106.0,51.0,680.0,49.0,26.0,49.0,25.0,4.0,0.13,123.0,64.0,123.0,55.0,0.0,0
5395,fe_macro.h,0.0,0.0,0.0,14.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
5407,equation_systems_macro.h,0.0,0.0,0.0,18.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,14.0,1.0,0.0,0.0,23.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0
5414,perf_log.h,3.0,15.0,3.0,75.0,134.0,133.0,3.0,3.0,3.0,1.0,21.0,3.0,15.0,3.0,1.0,5.0,342.0,75.0,119.0,51.0,46.0,133.0,3.0,13.0,58.0,70.0,35.0,4.0,31.0,3.0,3.0,3.0,1.0,2.0,1.12,12.0,12.0,12.0,4.0,0.0,15
5441,cell_prism6.h,0.0,2.0,0.0,37.0,31.0,60.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,128.0,34.0,20.0,14.0,7.0,53.0,15.0,6.0,9.0,13.0,9.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.65,5.0,5.0,5.0,5.0,0.0,16
5466,MASTER.h,0.0,0.0,0.0,38.0,178.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,36.0,0.0,0.0,0.0,26.0,94.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
