index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
1974,msetup.c,4.0,18.0,0.0,18.0,54.0,23.0,2.0,2.0,2.0,1.0,21.0,4.0,18.0,0.0,0.0,3.0,95.0,18.0,53.0,9.0,38.0,23.0,0.0,1.0,42.0,47.0,8.0,0.0,39.0,3.0,3.0,3.0,1.0,1.0,0.43,5.0,5.0,5.0,3.0,0.0,0
1975,predicates.C,8.0,86.0,1.0,372.0,3108.0,713.0,7.0,7.0,9.0,1.0,94.0,8.0,86.0,1.0,0.0,34.0,4176.0,372.0,2920.0,544.0,2147.0,703.0,16.0,182.0,9427.0,9623.0,542.0,0.0,9081.0,35.0,35.0,60.0,6.0,3.0,0.24,232.0,232.0,309.0,51.0,1.0,3
1980,libmesh_version.C,3.0,12.0,3.0,20.0,37.0,23.0,1.0,1.0,1.0,1.0,18.0,3.0,9.0,3.0,0.0,3.0,80.0,20.0,27.0,6.0,18.0,23.0,3.0,7.0,18.0,21.0,6.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,21.0,18
1981,dof_object.C,6.0,22.0,4.0,123.0,260.0,75.0,11.0,11.0,11.0,1.0,32.0,5.0,13.0,4.0,0.0,11.0,457.0,99.0,148.0,47.0,84.0,63.0,113.0,35.0,190.0,246.0,29.0,0.0,217.0,38.0,38.0,40.0,3.0,5.0,0.43,121.0,121.0,124.0,13.0,22.0,23
1982,trilinos_aztec_linear_solver.h,0.0,0.0,0.0,37.0,73.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,10.0,0.0,0.0,0.0,19.0,156.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15
1985,vector_fe_ex1.C,34.0,58.0,98.0,86.0,140.0,235.0,11.0,11.0,11.0,2.0,190.0,34.0,55.0,98.0,0.0,2.0,461.0,86.0,116.0,62.0,77.0,235.0,2.0,22.0,96.0,114.0,49.0,1.0,64.0,18.0,18.0,18.0,3.0,6.0,2.03,22.0,22.0,22.0,4.0,19.0,17
1986,diff_physics.C,0.0,4.0,0.0,16.0,18.0,15.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,48.0,16.0,15.0,6.0,3.0,15.0,0.0,3.0,3.0,7.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,13.0,16
1987,vtk_io.h,0.0,5.0,0.0,37.0,55.0,84.0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,1.0,3.0,174.0,37.0,47.0,38.0,8.0,84.0,0.0,8.0,30.0,36.0,23.0,2.0,11.0,3.0,3.0,3.0,1.0,2.0,1.79,7.0,7.0,7.0,3.0,13.0,16
1988,powi_speedtest.cc,2.0,16.0,0.0,10.0,53.0,0.0,3.0,3.0,3.0,1.0,18.0,2.0,16.0,0.0,0.0,3.0,63.0,10.0,47.0,15.0,29.0,0.0,0.0,6.0,30.0,38.0,15.0,0.0,23.0,4.0,4.0,4.0,1.0,3.0,0.0,8.0,8.0,8.0,3.0,0.0,0
1990,location_maps.C,3.0,15.0,2.0,62.0,148.0,32.0,5.0,5.0,5.0,1.0,20.0,3.0,15.0,2.0,0.0,8.0,241.0,62.0,137.0,44.0,73.0,32.0,0.0,11.0,87.0,120.0,30.0,9.0,81.0,24.0,24.0,24.0,8.0,6.0,0.23,43.0,43.0,43.0,15.0,10.0,12
