index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
474,Analysis_RemLog.cpp,1.0,71.0,6.0,7.0,288.0,29.0,18.0,18.0,20.0,4.0,76.0,1.0,71.0,6.0,0.0,4.0,316.0,7.0,282.0,65.0,215.0,29.0,0.0,6.0,176.0,249.0,53.0,0.0,196.0,43.0,43.0,45.0,13.0,6.0,0.1,73.0,73.0,80.0,19.0,1.0,0
475,Analysis_RemLog.h,0.0,2.0,0.0,4.0,50.0,11.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0,57.0,4.0,44.0,37.0,1.0,11.0,0.0,6.0,33.0,36.0,35.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,3.0,3.0,3.0,3.0,1.0,0
476,Analysis_FFT.cpp,1.0,25.0,5.0,8.0,105.0,28.0,6.0,6.0,6.0,4.0,30.0,1.0,25.0,5.0,0.0,4.0,135.0,8.0,101.0,29.0,78.0,28.0,0.0,4.0,69.0,91.0,29.0,0.0,62.0,10.0,10.0,10.0,9.0,3.0,0.28,22.0,22.0,22.0,16.0,0.0,0
477,Analysis_FFT.h,0.0,1.0,0.0,0.0,17.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,18.0,0.0,12.0,9.0,1.0,2.0,0.0,5.0,9.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17,1.0,1.0,1.0,1.0,0.0,0
478,PubFFT.h,0.0,1.0,0.0,1.0,34.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,38.0,0.0,19.0,16.0,2.0,4.0,7.0,10.0,16.0,17.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.21,1.0,1.0,1.0,1.0,0.0,0
480,FileTypes.h,0.0,0.0,0.0,0.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,28.0,23.0,0.0,22.0,0.0,5.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0
481,DataIO_OpenDx.cpp,0.0,27.0,4.0,10.0,274.0,49.0,7.0,7.0,8.0,2.0,31.0,0.0,27.0,4.0,0.0,10.0,329.0,10.0,267.0,57.0,196.0,49.0,0.0,7.0,166.0,240.0,53.0,0.0,187.0,19.0,19.0,23.0,16.0,5.0,0.18,72.0,68.0,80.0,27.0,2.0,0
482,Action_Volmap.h,0.0,1.0,0.0,1.0,39.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,52.0,1.0,25.0,22.0,1.0,12.0,5.0,9.0,22.0,23.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48,1.0,1.0,1.0,1.0,1.0,0
483,DataSet_Mesh.cpp,0.0,11.0,1.0,12.0,161.0,31.0,3.0,3.0,3.0,1.0,12.0,0.0,11.0,1.0,0.0,12.0,201.0,12.0,134.0,38.0,91.0,27.0,24.0,6.0,89.0,120.0,35.0,0.0,85.0,5.0,5.0,5.0,3.0,2.0,0.2,31.0,31.0,31.0,18.0,0.0,0
485,Traj_Gro.cpp,0.0,29.0,6.0,9.0,211.0,52.0,8.0,8.0,9.0,3.0,33.0,0.0,29.0,6.0,0.0,7.0,253.0,9.0,205.0,47.0,154.0,52.0,0.0,6.0,146.0,203.0,45.0,0.0,158.0,23.0,23.0,23.0,14.0,4.0,0.25,57.0,57.0,60.0,26.0,0.0,0
486,DataSet_Coords_REF.cpp,0.0,11.0,1.0,7.0,82.0,10.0,3.0,3.0,3.0,2.0,12.0,0.0,11.0,1.0,0.0,7.0,97.0,7.0,79.0,16.0,52.0,10.0,0.0,3.0,47.0,68.0,15.0,0.0,53.0,8.0,8.0,8.0,6.0,1.0,0.13,21.0,21.0,22.0,16.0,0.0,0
487,Trajin.h,0.0,2.0,0.0,4.0,37.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,44.0,4.0,25.0,16.0,11.0,2.0,5.0,9.0,17.0,24.0,15.0,0.0,9.0,3.0,3.0,3.0,3.0,1.0,0.08,8.0,8.0,8.0,8.0,0.0,0
488,CpptrajFile.cpp,0.0,16.0,2.0,26.0,385.0,101.0,4.0,4.0,5.0,1.0,18.0,0.0,15.0,2.0,0.0,21.0,506.0,26.0,321.0,55.0,229.0,96.0,41.0,31.0,176.0,272.0,29.0,0.0,243.0,18.0,18.0,24.0,6.0,3.0,0.3,93.0,86.0,101.0,38.0,3.0,0
491,FileIO_Gzip.h,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
492,FileIO_Mpi.h,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
493,Corr.cpp,0.0,10.0,1.0,5.0,63.0,14.0,2.0,2.0,2.0,1.0,12.0,0.0,10.0,1.0,0.0,6.0,82.0,5.0,62.0,22.0,46.0,14.0,0.0,1.0,46.0,60.0,22.0,0.0,38.0,5.0,5.0,5.0,4.0,2.0,0.23,14.0,14.0,14.0,11.0,0.0,0
494,Analysis_RmsAvgCorr.cpp,2.0,62.0,13.0,11.0,253.0,57.0,10.0,10.0,10.0,4.0,75.0,2.0,51.0,11.0,0.0,4.0,317.0,11.0,204.0,30.0,160.0,52.0,31.0,25.0,135.0,176.0,21.0,0.0,155.0,20.0,20.0,20.0,8.0,4.0,0.25,41.0,41.0,41.0,16.0,0.0,0
495,Analysis_RmsAvgCorr.h,0.0,1.0,0.0,2.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,28.0,2.0,19.0,16.0,1.0,3.0,0.0,5.0,16.0,17.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16,1.0,1.0,1.0,1.0,0.0,0
496,Exec_Precision.cpp,0.0,15.0,1.0,2.0,31.0,2.0,3.0,3.0,3.0,2.0,16.0,0.0,15.0,1.0,0.0,2.0,35.0,2.0,29.0,6.0,22.0,2.0,0.0,2.0,14.0,20.0,6.0,0.0,14.0,5.0,5.0,5.0,3.0,1.0,0.07,6.0,6.0,6.0,4.0,0.0,0
497,Exec_Precision.h,0.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,11.0,0.0,7.0,5.0,1.0,0.0,0.0,4.0,4.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0
