,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
342,src/USER-REAXC/reaxc_allocate.cpp,633ca33,7.0,40.0,3.0,82.0,370.0,58.0,4.0,4.0,5.0,1.0,50.0,7.0,36.0,3.0,0.0,,9.0,510.0,79.0,327.0,42.0,251.0,58.0,28.0,22.0,,,230.0,268.0,32.0,0.0,236.0,,,,,16.0,16.0,25.0,1.0,3.0,0.18,38.0,38.0,47.0,9.0,0.0
343,src/MANYBODY/pair_eam.cpp,633ca33,6.0,28.0,3.0,171.0,602.0,133.0,5.0,5.0,5.0,1.0,37.0,6.0,28.0,3.0,0.0,,21.0,906.0,171.0,589.0,89.0,456.0,133.0,0.0,13.0,,,507.0,619.0,86.0,0.0,533.0,,,,,23.0,23.0,26.0,6.0,4.0,0.23,111.0,111.0,115.0,28.0,0.0
344,src/KOKKOS/pair_coul_debye_kokkos.cpp,633ca33,4.0,18.0,1.0,61.0,224.0,45.0,4.0,4.0,4.0,1.0,23.0,4.0,18.0,1.0,0.0,,10.0,330.0,61.0,200.0,48.0,137.0,45.0,1.0,23.0,,,123.0,160.0,30.0,0.0,130.0,,,,,11.0,11.0,13.0,1.0,4.0,0.23,36.0,36.0,42.0,10.0,0.0
345,src/USER-OMP/pair_reaxc_omp.cpp,633ca33,10.0,38.0,4.0,129.0,423.0,87.0,5.0,5.0,5.0,1.0,51.0,9.0,29.0,4.0,0.0,,10.0,630.0,118.0,295.0,70.0,230.0,85.0,81.0,69.0,,,231.0,282.0,63.0,0.0,219.0,,,,,13.0,13.0,14.0,4.0,4.0,0.29,50.0,50.0,52.0,13.0,0.0
346,src/USER-TALLY/compute_heat_flux_tally.cpp,633ca33,3.0,21.0,1.0,46.0,201.0,36.0,3.0,3.0,5.0,1.0,25.0,3.0,21.0,1.0,0.0,,9.0,281.0,46.0,192.0,44.0,146.0,36.0,0.0,9.0,,,141.0,172.0,41.0,0.0,131.0,,,,,7.0,7.0,10.0,1.0,3.0,0.19,30.0,30.0,42.0,9.0,0.0
347,src/KSPACE/pair_lj_long_coul_long.cpp,633ca33,5.0,38.0,3.0,145.0,820.0,129.0,8.0,8.0,9.0,1.0,43.0,5.0,38.0,3.0,0.0,,21.0,1039.0,145.0,795.0,186.0,619.0,129.0,0.0,25.0,,,587.0,751.0,180.0,10.0,561.0,,,,,36.0,36.0,42.0,5.0,7.0,0.16,170.0,168.0,199.0,37.0,0.0
348,src/PERI/fix_peri_neigh.cpp,633ca33,4.0,21.0,2.0,115.0,439.0,92.0,5.0,5.0,5.0,1.0,26.0,4.0,21.0,2.0,0.0,,20.0,646.0,115.0,421.0,80.0,316.0,92.0,0.0,18.0,,,324.0,423.0,79.0,0.0,344.0,,,,,31.0,31.0,33.0,6.0,5.0,0.22,97.0,97.0,99.0,31.0,0.0
349,src/pair_lj_cut.cpp,633ca33,4.0,26.0,1.0,121.0,534.0,70.0,5.0,5.0,5.0,1.0,30.0,4.0,26.0,1.0,0.0,,20.0,725.0,121.0,517.0,114.0,392.0,70.0,0.0,17.0,,,397.0,495.0,113.0,0.0,382.0,,,,,13.0,13.0,15.0,3.0,5.0,0.14,97.0,97.0,108.0,22.0,0.0
350,lib/colvars/colvar.cpp,633ca33,5.0,29.0,3.0,389.0,1504.0,162.0,6.0,6.0,7.0,2.0,37.0,5.0,29.0,3.0,0.0,,51.0,2050.0,389.0,1497.0,175.0,1084.0,162.0,0.0,7.0,,,717.0,1030.0,154.0,0.0,876.0,,,,,30.0,30.0,34.0,12.0,5.0,0.11,327.0,323.0,355.0,133.0,0.0
351,src/USER-OMP/reaxc_valence_angles_omp.cpp,633ca33,54.0,212.0,32.0,116.0,435.0,94.0,20.0,20.0,26.0,10.0,287.0,54.0,197.0,31.0,0.0,,2.0,625.0,116.0,394.0,68.0,321.0,93.0,12.0,36.0,,,307.0,348.0,63.0,0.0,285.0,,,,,39.0,39.0,50.0,20.0,9.0,0.24,40.0,40.0,51.0,21.0,0.0
