Unnamed: 0,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
2823,src/compute_dipole_chunk.cpp,b5a5627,2.0,16.0,1.0,51.0,191.0,53.0,3.0,3.0,3.0,1.0,19.0,2.0,16.0,1.0,0.0,11.0,294.0,51.0,181.0,36.0,128.0,53.0,0.0,10.0,125.0,161.0,34.0,0.0,127.0,17.0,17.0,17.0,7.0,4.0,0.29,34.0,34.0,35.0,17.0,0.0
2824,src/compute_orientorder_atom.cpp,b5a5627,4.0,30.0,2.0,80.0,362.0,61.0,8.0,8.0,8.0,1.0,36.0,4.0,30.0,2.0,0.0,11.0,503.0,80.0,331.0,68.0,257.0,61.0,1.0,31.0,343.0,414.0,64.0,6.0,344.0,31.0,31.0,32.0,5.0,4.0,0.18,88.0,88.0,92.0,20.0,0.0
2825,src/KOKKOS/pair_reax_c_kokkos.cpp,b5a5627,13.0,59.0,3.0,721.0,3022.0,207.0,10.0,10.0,12.0,3.0,75.0,13.0,59.0,3.0,0.0,49.0,3934.0,721.0,2995.0,966.0,2466.0,207.0,1.0,26.0,2578.0,3091.0,843.0,0.0,2248.0,77.0,77.0,90.0,16.0,6.0,0.07,509.0,509.0,603.0,153.0,0.0
2826,src/KOKKOS/pair_reax_c_kokkos.h,b5a5627,0.0,2.0,0.0,100.0,299.0,17.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,10.0,415.0,98.0,279.0,261.0,18.0,17.0,5.0,17.0,296.0,297.0,175.0,0.0,122.0,1.0,1.0,1.0,1.0,0.0,0.06,10.0,10.0,10.0,10.0,0.0
2827,src/compute_vacf.cpp,b5a5627,4.0,17.0,2.0,33.0,96.0,27.0,3.0,3.0,3.0,1.0,23.0,4.0,17.0,2.0,0.0,5.0,156.0,33.0,88.0,25.0,65.0,27.0,0.0,8.0,66.0,81.0,23.0,0.0,58.0,5.0,5.0,5.0,1.0,3.0,0.31,14.0,14.0,14.0,5.0,0.0
2828,src/compute_heat_flux.cpp,b5a5627,5.0,24.0,3.0,32.0,105.0,32.0,4.0,4.0,5.0,1.0,32.0,5.0,24.0,3.0,0.0,4.0,169.0,32.0,95.0,26.0,74.0,32.0,0.0,10.0,64.0,80.0,24.0,0.0,56.0,6.0,6.0,8.0,1.0,2.0,0.34,15.0,15.0,19.0,4.0,0.0
2829,src/compute_centro_atom.cpp,b5a5627,7.0,36.0,3.0,76.0,308.0,54.0,9.0,9.0,9.0,2.0,46.0,7.0,36.0,3.0,0.0,8.0,438.0,76.0,291.0,34.0,223.0,54.0,0.0,17.0,252.0,317.0,32.0,12.0,273.0,22.0,22.0,22.0,6.0,7.0,0.19,68.0,68.0,73.0,21.0,0.0
2830,src/compute_displace_atom.cpp,b5a5627,4.0,19.0,2.0,36.0,125.0,33.0,3.0,3.0,3.0,1.0,24.0,4.0,19.0,2.0,0.0,6.0,194.0,36.0,113.0,34.0,87.0,33.0,0.0,12.0,85.0,104.0,32.0,0.0,72.0,7.0,7.0,7.0,1.0,3.0,0.29,18.0,18.0,18.0,6.0,0.0
2831,src/version.h,b5a5627,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,src/compute_msd_chunk.cpp,b5a5627,3.0,14.0,2.0,57.0,183.0,67.0,3.0,3.0,3.0,1.0,19.0,3.0,14.0,2.0,0.0,12.0,307.0,57.0,172.0,41.0,121.0,67.0,0.0,11.0,123.0,157.0,39.0,0.0,118.0,12.0,12.0,12.0,4.0,3.0,0.39,33.0,33.0,34.0,17.0,0.0
2833,src/compute_inertia_chunk.cpp,b5a5627,2.0,14.0,1.0,46.0,162.0,50.0,3.0,3.0,3.0,1.0,16.0,2.0,14.0,1.0,0.0,11.0,258.0,46.0,153.0,33.0,107.0,50.0,0.0,9.0,109.0,138.0,30.0,0.0,108.0,14.0,14.0,14.0,7.0,3.0,0.33,28.0,28.0,28.0,17.0,0.0
