,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
5465,src/neigh_request.cpp,8d37c89,7.0,26.0,6.0,47.0,134.0,60.0,9.0,9.0,9.0,1.0,39.0,7.0,26.0,6.0,0.0,,5.0,241.0,47.0,131.0,12.0,111.0,60.0,0.0,3.0,,,118.0,164.0,12.0,0.0,152.0,,,,,30.0,30.0,31.0,1.0,3.0,0.46,45.0,45.0,46.0,5.0,0.0
5466,src/SNAP/pair_snap.cpp,8d37c89,15.0,73.0,7.0,317.0,1342.0,190.0,15.0,15.0,17.0,2.0,95.0,15.0,68.0,6.0,0.0,,18.0,1843.0,316.0,1224.0,288.0,1012.0,189.0,58.0,71.0,,,904.0,1179.0,280.0,0.0,899.0,,,,,56.0,55.0,66.0,11.0,8.0,0.15,273.0,269.0,301.0,41.0,0.0
5467,src/KOKKOS/pair_snap_kokkos.cpp,8d37c89,0.0,0.0,0.0,3.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23.0,3.0,3.0,2.0,0.0,12.0,1.0,4.0,,,1.0,2.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,4.00,0.0,0.0,0.0,0.0,0.0
5468,src/fix_neigh_history.cpp,8d37c89,4.0,20.0,3.0,175.0,548.0,179.0,4.0,4.0,4.0,1.0,27.0,4.0,20.0,3.0,0.0,,27.0,895.0,175.0,534.0,91.0,385.0,179.0,0.0,14.0,,,449.0,559.0,89.0,0.0,470.0,,,,,18.0,18.0,20.0,6.0,5.0,0.34,116.0,116.0,120.0,32.0,0.0
5469,src/variable.cpp,8d37c89,12.0,77.0,5.0,684.0,3805.0,566.0,25.0,25.0,31.0,6.0,93.0,12.0,77.0,5.0,0.0,,49.0,5042.0,684.0,3766.0,525.0,3243.0,566.0,0.0,39.0,,,2518.0,3746.0,505.0,3.0,3238.0,,,,,223.0,223.0,298.0,94.0,6.0,0.15,1240.0,1240.0,1543.0,336.0,0.0
5470,examples/COUPLE/simple/simple.cpp,8d37c89,31.0,88.0,22.0,36.0,97.0,42.0,21.0,21.0,21.0,3.0,141.0,31.0,88.0,22.0,0.0,,1.0,174.0,36.0,89.0,21.0,69.0,42.0,0.0,8.0,,,68.0,90.0,21.0,0.0,69.0,,,,,21.0,21.0,21.0,3.0,3.0,0.47,21.0,21.0,21.0,3.0,0.0
5471,src/info.cpp,8d37c89,4.0,34.0,0.0,159.0,983.0,37.0,10.0,10.0,11.0,3.0,39.0,4.0,32.0,0.0,0.0,,26.0,1177.0,156.0,865.0,177.0,653.0,36.0,58.0,69.0,,,528.0,775.0,148.0,0.0,627.0,,,,,112.0,112.0,134.0,20.0,5.0,0.04,261.0,261.0,295.0,78.0,0.0
5472,src/neighbor.cpp,8d37c89,12.0,44.0,9.0,463.0,1495.0,440.0,17.0,17.0,19.0,7.0,64.0,12.0,42.0,9.0,0.0,,33.0,2395.0,463.0,1415.0,150.0,1164.0,440.0,2.0,78.0,,,1092.0,1646.0,136.0,0.0,1510.0,,,,,67.0,67.0,84.0,42.0,5.0,0.31,563.0,563.0,636.0,240.0,0.0
5473,src/create_bonds.cpp,8d37c89,12.0,55.0,6.0,89.0,345.0,58.0,16.0,16.0,18.0,2.0,73.0,12.0,55.0,6.0,0.0,,6.0,492.0,89.0,332.0,53.0,284.0,58.0,0.0,13.0,,,239.0,336.0,54.0,0.0,282.0,,,,,35.0,35.0,39.0,7.0,4.0,0.17,96.0,96.0,106.0,12.0,0.0
5474,src/delete_atoms.cpp,8d37c89,10.0,41.0,5.0,142.0,506.0,112.0,12.0,12.0,13.0,2.0,55.0,10.0,41.0,5.0,0.0,,12.0,760.0,142.0,487.0,132.0,410.0,112.0,0.0,19.0,,,356.0,495.0,133.0,0.0,362.0,,,,,32.0,32.0,36.0,11.0,4.0,0.23,138.0,138.0,156.0,24.0,0.0
5475,src/KOKKOS/pair_zbl_kokkos.cpp,8d37c89,4.0,23.0,0.0,78.0,317.0,44.0,3.0,3.0,3.0,1.0,27.0,4.0,23.0,0.0,0.0,,12.0,439.0,78.0,295.0,88.0,227.0,44.0,1.0,21.0,,,210.0,248.0,66.0,0.0,182.0,,,,,11.0,11.0,13.0,1.0,2.0,0.15,34.0,34.0,40.0,12.0,0.0
5476,src/KOKKOS/npair_halffull_kokkos.cpp,8d37c89,4.0,21.0,1.0,19.0,86.0,24.0,5.0,5.0,5.0,3.0,26.0,4.0,21.0,1.0,0.0,,3.0,128.0,19.0,72.0,21.0,49.0,24.0,2.0,12.0,,,46.0,61.0,17.0,0.0,44.0,,,,,11.0,11.0,12.0,9.0,5.0,0.33,15.0,15.0,16.0,11.0,0.0
5477,src/pair_zbl.cpp,8d37c89,5.0,21.0,2.0,91.0,295.0,70.0,3.0,3.0,3.0,1.0,27.0,5.0,21.0,2.0,0.0,,13.0,456.0,91.0,278.0,78.0,218.0,70.0,0.0,17.0,,,215.0,258.0,78.0,0.0,180.0,,,,,11.0,11.0,13.0,1.0,5.0,0.25,41.0,41.0,43.0,13.0,0.0
5478,src/KOKKOS/npair_skip_kokkos.cpp,8d37c89,5.0,20.0,1.0,31.0,102.0,25.0,4.0,4.0,4.0,2.0,27.0,5.0,20.0,1.0,0.0,,4.0,157.0,31.0,89.0,30.0,63.0,25.0,1.0,12.0,,,62.0,79.0,24.0,0.0,55.0,,,,,7.0,7.0,7.0,5.0,4.0,0.28,15.0,15.0,15.0,8.0,0.0
5479,examples/COUPLE/simple/simple.c,8d37c89,0.0,0.0,0.0,33.0,93.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,165.0,33.0,88.0,19.0,68.0,40.0,0.0,5.0,,,68.0,91.0,19.0,0.0,72.0,,,,,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
5480,examples/COUPLE/simple/simple.cpp,8d37c89,0.0,0.0,0.0,33.0,93.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,165.0,33.0,88.0,19.0,68.0,40.0,0.0,5.0,,,68.0,91.0,19.0,0.0,72.0,,,,,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
5481,doc/utils/converters/lammpsdoc/txt2rst.py,8d37c89,,,,,,,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,4.0,60.0,59.0,414.0,94.0,288.0,68.0,220.0,36.0,,,2.0,0.0,,279.0,68.0,,211.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,5.0,3.0,0.12,90.0,90.0,90.0,68.0,0.0
5482,src/KOKKOS/fix_property_atom_kokkos.cpp,e1e6825,1.0,16.0,2.0,8.0,42.0,22.0,4.0,4.0,4.0,1.0,18.0,1.0,16.0,2.0,0.0,,2.0,72.0,8.0,34.0,10.0,22.0,22.0,0.0,8.0,,,20.0,28.0,9.0,0.0,19.0,,,,,7.0,7.0,7.0,1.0,2.0,0.65,8.0,8.0,8.0,2.0,1.0
5483,src/fix_property_atom.cpp,e1e6825,2.0,21.0,1.0,95.0,458.0,97.0,7.0,7.0,8.0,1.0,24.0,2.0,21.0,1.0,0.0,,21.0,650.0,95.0,450.0,91.0,331.0,97.0,0.0,8.0,,,312.0,468.0,88.0,0.0,380.0,,,,,27.0,27.0,30.0,7.0,4.0,0.22,154.0,154.0,160.0,27.0,1.0
5484,src/KOKKOS/fix_property_atom_kokkos.cpp,415a55b,1.0,16.0,2.0,8.0,43.0,22.0,4.0,4.0,4.0,1.0,18.0,1.0,16.0,2.0,0.0,,2.0,73.0,8.0,35.0,10.0,23.0,22.0,0.0,8.0,,,21.0,29.0,9.0,0.0,20.0,,,,,7.0,7.0,7.0,1.0,2.0,0.63,8.0,8.0,8.0,2.0,0.0
5485,src/fix_property_atom.cpp,415a55b,2.0,21.0,1.0,94.0,459.0,97.0,7.0,7.0,8.0,1.0,24.0,2.0,21.0,1.0,0.0,,21.0,650.0,94.0,451.0,91.0,332.0,97.0,0.0,8.0,,,312.0,469.0,88.0,0.0,381.0,,,,,28.0,28.0,31.0,7.0,4.0,0.22,155.0,155.0,161.0,27.0,0.0
5486,src/MC/fix_gcmc.cpp,5e9d257,10.0,61.0,3.0,377.0,1931.0,173.0,15.0,15.0,18.0,2.0,74.0,10.0,61.0,3.0,0.0,,31.0,2481.0,377.0,1897.0,338.0,1560.0,173.0,0.0,34.0,,,1326.0,1789.0,328.0,1.0,1460.0,,,,,43.0,43.0,59.0,9.0,5.0,0.09,461.0,461.0,549.0,76.0,1.0
