,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
12150,src/28_numeric_noabirule/m_blas.F90,86b7f7d,2.0,2.0,,1.0,41.0,7.0,17.0,16.0,,14.0,,1.0,1.0,44.0,1471.0,192.0,554.0,403.0,82.0,737.0,,,486.0,400.0,86.0,,,,,4.0,4.0,,1.0,1.0,1.33,32.0,32.0,,14.0,0.0
12151,src/67_common/initro.F90,86b7f7d,5.0,5.0,,0.0,51.0,9.0,30.0,12.0,,11.0,,0.0,1.0,8.0,532.0,85.0,299.0,76.0,222.0,161.0,,,281.0,64.0,217.0,,,,,50.0,50.0,,1.0,0.0,0.54,57.0,57.0,,8.0,0.0
12152,src/67_common/wvl_initro.F90,86b7f7d,5.0,5.0,,0.0,51.0,9.0,30.0,12.0,,11.0,,0.0,1.0,8.0,532.0,85.0,299.0,76.0,222.0,161.0,,,281.0,64.0,217.0,,,,,50.0,50.0,,1.0,0.0,0.54,57.0,57.0,,8.0,0.0
12153,src/57_iovars/invars2.F90,86b7f7d,404.0,404.0,,2.0,1496.0,289.0,1125.0,93.0,,2.0,,0.0,1.0,1.0,3063.0,581.0,2252.0,115.0,2082.0,254.0,,,2551.0,43.0,2508.0,,,,,808.0,808.0,,5.0,7.0,0.11,808.0,808.0,,5.0,0.0
12154,src/72_response/d2kindstr2.F90,86b7f7d,16.0,16.0,,1.0,140.0,20.0,98.0,27.0,,1.0,,0.0,1.0,1.0,198.0,24.0,100.0,18.0,81.0,81.0,,,78.0,16.0,62.0,,,,,16.0,16.0,,1.0,5.0,0.81,16.0,16.0,,1.0,0.0
12155,src/56_io_mpi/m_hdr.F90,86b7f7d,10.0,10.0,,3.0,109.0,17.0,73.0,19.0,,33.0,,1.0,1.0,33.0,4713.0,690.0,2506.0,551.0,1509.0,1574.0,,,1826.0,334.0,1492.0,,,,,129.0,129.0,,23.0,4.0,0.63,358.0,339.0,,100.0,0.0
12156,src/62_wvl_wfs/wvl_hpsitopsi.F90,86b7f7d,2.0,2.0,,1.0,125.0,26.0,75.0,24.0,,1.0,,0.0,1.0,1.0,175.0,29.0,77.0,24.0,2.0,71.0,,,22.0,20.0,2.0,,,,,2.0,2.0,,1.0,1.0,0.92,2.0,2.0,,1.0,0.0
12157,src/41_geometry/randomcellpos.F90,86b7f7d,11.0,10.0,,8.0,102.0,5.0,72.0,24.0,,2.0,,0.0,1.0,1.0,257.0,15.0,147.0,24.0,122.0,97.0,,,149.0,22.0,127.0,,,,,23.0,20.0,,16.0,5.0,0.66,23.0,20.0,,16.0,0.0
12158,src/64_psp/psp11lo.F90,86b7f7d,6.0,6.0,,1.0,118.0,18.0,55.0,45.0,,1.0,,0.0,1.0,1.0,171.0,21.0,57.0,20.0,36.0,95.0,,,49.0,16.0,33.0,,,,,6.0,6.0,,1.0,2.0,1.67,6.0,6.0,,1.0,0.0
12159,src/56_recipspace/initylmg.F90,86b7f7d,41.0,41.0,,3.0,320.0,30.0,236.0,61.0,,1.0,,0.0,1.0,1.0,396.0,33.0,238.0,49.0,188.0,134.0,,,210.0,33.0,177.0,,,,,41.0,41.0,,3.0,10.0,0.56,41.0,41.0,,3.0,0.0
12160,src/53_ffts/zerosym.F90,86b7f7d,27.0,27.0,,1.0,154.0,16.0,122.0,24.0,,1.0,,0.0,1.0,1.0,198.0,19.0,124.0,24.0,99.0,65.0,,,128.0,15.0,113.0,,,,,27.0,27.0,,1.0,5.0,0.52,27.0,27.0,,1.0,0.0
12161,src/77_suscep/suscep_stat.F90,86b7f7d,36.0,36.0,,2.0,328.0,47.0,234.0,53.0,,2.0,,0.0,1.0,1.0,775.0,98.0,470.0,135.0,334.0,220.0,,,401.0,63.0,338.0,,,,,72.0,72.0,,4.0,6.0,0.47,72.0,72.0,,4.0,0.0
12162,src/56_recipspace/setmqgrid.F90,86b7f7d,7.0,7.0,,1.0,81.0,10.0,61.0,10.0,,1.0,,0.0,1.0,1.0,125.0,14.0,63.0,17.0,45.0,50.0,,,41.0,13.0,28.0,,,,,7.0,7.0,,1.0,3.0,0.79,7.0,7.0,,1.0,0.0
12163,src/66_nonlocal/mkffnl.F90,86b7f7d,118.0,118.0,,1.0,510.0,34.0,386.0,99.0,,1.0,,0.0,1.0,1.0,662.0,37.0,388.0,70.0,317.0,248.0,,,365.0,29.0,336.0,,,,,118.0,118.0,,1.0,11.0,0.64,118.0,118.0,,1.0,0.0
12164,src/65_paw/m_paw_pwaves_lmn.F90,86b7f7d,20.0,20.0,,1.0,168.0,21.0,115.0,40.0,,2.0,,1.0,1.0,2.0,499.0,73.0,260.0,103.0,156.0,186.0,,,215.0,56.0,159.0,,,,,33.0,33.0,,1.0,5.0,0.72,40.0,40.0,,2.0,0.0
12165,src/72_response/dfpt_symph.F90,86b7f7d,27.0,27.0,,3.0,204.0,22.0,153.0,46.0,,1.0,,0.0,1.0,1.0,252.0,26.0,155.0,33.0,121.0,90.0,,,127.0,18.0,109.0,,,,,27.0,27.0,,3.0,6.0,0.58,27.0,27.0,,3.0,0.0
12166,src/65_paw/pawuj_red.F90,86b7f7d,10.0,10.0,,0.0,112.0,15.0,81.0,21.0,,2.0,,0.0,1.0,1.0,270.0,33.0,165.0,56.0,108.0,84.0,,,155.0,37.0,118.0,,,,,20.0,20.0,,1.0,4.0,0.51,20.0,20.0,,1.0,0.0
12167,src/45_geomoptim/m_pimd.F90,86b7f7d,11.0,11.0,,1.0,76.0,11.0,50.0,15.0,,26.0,,1.0,1.0,26.0,2963.0,389.0,1369.0,377.0,991.0,1247.0,,,1273.0,308.0,965.0,,,,,38.0,34.0,,3.0,7.0,0.91,308.0,301.0,,28.0,0.0
12168,src/44_abitypes_defs/m_results_respfn.F90,86b7f7d,95.0,95.0,,0.0,855.0,103.0,641.0,122.0,,2.0,,0.0,1.0,1.0,1821.0,210.0,1284.0,373.0,895.0,353.0,,,993.0,138.0,855.0,,,,,191.0,191.0,,1.0,10.0,0.27,191.0,191.0,,1.0,0.0
12169,src/95_drive/respfn.F90,86b7f7d,95.0,95.0,,0.0,855.0,103.0,641.0,122.0,,2.0,,0.0,1.0,1.0,1821.0,210.0,1284.0,373.0,895.0,353.0,,,993.0,138.0,855.0,,,,,191.0,191.0,,1.0,10.0,0.27,191.0,191.0,,1.0,0.0
12170,src/32_util/create_mlms2jmj.F90,86b7f7d,10.0,10.0,,1.0,80.0,9.0,55.0,19.0,,1.0,,0.0,1.0,1.0,115.0,11.0,57.0,20.0,36.0,52.0,,,50.0,14.0,36.0,,,,,10.0,10.0,,1.0,4.0,0.91,10.0,10.0,,1.0,0.0
12171,src/43_ptgroups/ptg_D3.F90,86b7f7d,2.0,2.0,,1.0,84.0,8.0,64.0,12.0,,1.0,,0.0,1.0,1.0,124.0,12.0,66.0,19.0,46.0,48.0,,,58.0,11.0,47.0,,,,,2.0,2.0,,1.0,1.0,0.73,2.0,2.0,,1.0,0.0
12172,src/67_common/mlwfovlp.F90,86b7f7d,54.0,54.0,,30.0,433.0,26.0,284.0,161.0,,3.0,,0.0,1.0,2.0,1316.0,72.0,826.0,158.0,577.0,527.0,,,643.0,84.0,559.0,,,,,162.0,162.0,,91.0,1.0,0.64,164.0,164.0,,92.0,0.0
