index,File,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
316,m_phpi.F90,13.0,13.0,6.0,208.0,44.0,125.0,43.0,3.0,1.0,1.0,3.0,795.0,155.0,419.0,180.0,206.0,238.0,325.0,108.0,217.0,37.0,37.0,17.0,6.0,0.57,40.0,40.0,19.0,0.0
317,scfcv.F90,74.0,74.0,5.0,586.0,69.0,419.0,109.0,5.0,0.0,3.0,3.0,3276.0,355.0,2099.0,485.0,1582.0,887.0,1760.0,294.0,1466.0,276.0,276.0,13.0,7.0,0.42,374.0,374.0,26.0,0.0
318,m_dfpt_io.F90,1.0,1.0,1.0,39.0,9.0,17.0,13.0,2.0,1.0,1.0,2.0,153.0,27.0,43.0,23.0,1.0,86.0,21.0,20.0,1.0,1.0,1.0,1.0,0.0,2.00,2.0,2.0,2.0,0.0
319,chkpawovlp.F90,11.0,11.0,1.0,102.0,21.0,64.0,19.0,2.0,0.0,1.0,2.0,232.0,42.0,124.0,31.0,92.0,75.0,105.0,25.0,80.0,21.0,21.0,1.0,0.0,0.60,22.0,22.0,2.0,0.0
320,defs_wannier90.F90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,115.0,6.0,81.0,74.0,0.0,29.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0
321,posdoppler.F90,77.0,77.0,6.0,443.0,41.0,368.0,52.0,4.0,0.0,1.0,1.0,1583.0,150.0,1235.0,284.0,950.0,262.0,1031.0,113.0,918.0,200.0,200.0,23.0,22.0,0.21,308.0,308.0,24.0,0.0
322,m_spgbuilder.F90,190.0,99.0,1.0,401.0,22.0,331.0,66.0,3.0,1.0,1.0,3.0,1368.0,82.0,1008.0,55.0,952.0,335.0,1136.0,43.0,1093.0,496.0,248.0,1.0,4.0,0.33,570.0,299.0,3.0,0.0
323,dfpt_nstdy.F90,27.0,27.0,2.0,248.0,32.0,170.0,49.0,2.0,0.0,1.0,1.0,595.0,68.0,343.0,116.0,226.0,194.0,288.0,70.0,218.0,54.0,54.0,4.0,6.0,0.57,54.0,54.0,4.0,0.0
324,m_evdw_wannier.F90,38.0,38.0,16.0,242.0,46.0,160.0,44.0,6.0,1.0,1.0,6.0,1649.0,300.0,978.0,193.0,784.0,432.0,852.0,90.0,762.0,163.0,163.0,62.0,10.0,0.44,230.0,230.0,100.0,0.0
325,getghcnd.F90,6.0,6.0,1.0,77.0,17.0,45.0,16.0,1.0,0.0,1.0,1.0,130.0,20.0,47.0,25.0,21.0,66.0,37.0,16.0,21.0,6.0,6.0,1.0,1.0,1.40,6.0,6.0,1.0,0.0
