,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
20,src/42_libpaw/m_pawpsp.F90,123d386,20.0,20.0,,3.0,396.0,42.0,255.0,104.0,,23.0,,0.0,1.0,23.0,4974.0,528.0,2945.0,342.0,2230.0,1579.0,,,2744.0,322.0,2422.0,,,,,106.0,104.0,,31.0,5.0,0.54,482.0,465.0,,72.0,1.0
21,src/57_iovars/indefo.F90,123d386,32.0,32.0,,1.0,822.0,37.0,668.0,133.0,,1.0,,0.0,1.0,1.0,868.0,40.0,670.0,16.0,623.0,176.0,,,652.0,13.0,639.0,,,,,32.0,32.0,,1.0,3.0,0.26,32.0,32.0,,1.0,1.0
22,src/72_response/dfpt_cgwf.F90,123d386,128.0,128.0,,10.0,987.0,94.0,653.0,257.0,,1.0,,0.0,1.0,1.0,1097.0,97.0,655.0,134.0,520.0,364.0,,,578.0,55.0,523.0,,,,,128.0,128.0,,10.0,5.0,0.56,128.0,128.0,,10.0,1.0
23,src/72_response/dfpt_vtowfk.F90,123d386,25.0,25.0,,2.0,231.0,30.0,160.0,42.0,,2.0,,0.0,1.0,1.0,587.0,64.0,323.0,119.0,203.0,206.0,,,271.0,70.0,201.0,,,,,50.0,50.0,,5.0,4.0,0.64,50.0,50.0,,5.0,1.0
24,src/66_nonlocal/opernlb_ylm.F90,123d386,253.0,253.0,,1.0,1078.0,87.0,812.0,216.0,,1.0,,0.0,1.0,1.0,1195.0,91.0,814.0,46.0,765.0,329.0,,,836.0,25.0,811.0,,,,,253.0,253.0,,1.0,10.0,0.40,253.0,253.0,,1.0,1.0
25,src/67_common/berryphase_new.F90,123d386,167.0,167.0,,14.0,1521.0,229.0,948.0,412.0,,1.0,,0.0,1.0,1.0,1632.0,232.0,950.0,191.0,758.0,520.0,,,768.0,84.0,684.0,,,,,167.0,167.0,,14.0,11.0,0.55,167.0,167.0,,14.0,1.0
26,src/70_gw/paw_qpscgw.F90,123d386,4.0,4.0,,1.0,160.0,23.0,101.0,39.0,,1.0,,0.0,1.0,1.0,222.0,26.0,103.0,55.0,47.0,98.0,,,92.0,49.0,43.0,,,,,4.0,4.0,,1.0,2.0,0.95,4.0,4.0,,1.0,1.0
27,src/42_libpaw/m_pawang.F90,123d386,10.0,10.0,,1.0,175.0,29.0,96.0,51.0,,10.0,,0.0,1.0,10.0,1007.0,163.0,483.0,80.0,362.0,372.0,,,497.0,80.0,417.0,,,,,34.0,34.0,,1.0,12.0,0.77,103.0,103.0,,10.0,1.0
28,src/57_iovars/invars2.F90,123d386,395.0,395.0,,2.0,1466.0,283.0,1097.0,97.0,,2.0,,0.0,1.0,1.0,3001.0,570.0,2197.0,113.0,2029.0,260.0,,,2491.0,42.0,2449.0,,,,,790.0,790.0,,5.0,6.0,0.12,790.0,790.0,,5.0,1.0
29,src/95_drive/driver.F90,123d386,42.0,38.0,,2.0,394.0,54.0,284.0,58.0,,2.0,,0.0,1.0,1.0,869.0,111.0,570.0,132.0,375.0,194.0,,,421.0,69.0,352.0,,,,,85.0,76.0,,4.0,8.0,0.34,85.0,76.0,,4.0,1.0
30,src/66_wfs/getghc.F90,123d386,49.0,49.0,,0.0,292.0,26.0,232.0,47.0,,3.0,,0.0,2.0,2.0,1023.0,88.0,702.0,152.0,548.0,277.0,,,619.0,75.0,544.0,,,,,111.0,111.0,,1.0,8.0,0.39,149.0,149.0,,2.0,1.0
31,src/56_io_mpi/m_hdr.F90,123d386,10.0,9.0,,2.0,106.0,16.0,71.0,19.0,,34.0,,1.0,1.0,33.0,4706.0,688.0,2503.0,549.0,1509.0,1572.0,,,1826.0,334.0,1492.0,,,,,129.0,129.0,,23.0,4.0,0.63,358.0,339.0,,100.0,1.0
32,src/44_abitypes_defs/defs_abitypes.F90,123d386,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,1818.0,228.0,1124.0,1123.0,0.0,654.0,,,1122.0,1122.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.58,0.0,0.0,,0.0,1.0
33,src/67_common/scprqt.F90,123d386,44.0,43.0,,0.0,247.0,22.0,197.0,31.0,,3.0,,0.0,1.0,2.0,830.0,67.0,586.0,60.0,514.0,190.0,,,518.0,45.0,473.0,,,,,132.0,130.0,,1.0,0.0,0.32,133.0,131.0,,2.0,1.0
34,src/95_drive/dfptnl_loop.F90,123d386,51.0,51.0,,1.0,581.0,85.0,451.0,63.0,,1.0,,0.0,1.0,1.0,674.0,89.0,453.0,107.0,345.0,152.0,,,304.0,58.0,246.0,,,,,51.0,51.0,,1.0,12.0,0.34,51.0,51.0,,1.0,1.0
35,src/42_libpaw/m_paw_an.F90,123d386,26.0,26.0,,2.0,324.0,30.0,238.0,59.0,,11.0,,0.0,1.0,11.0,1938.0,184.0,1313.0,135.0,1046.0,462.0,,,1450.0,128.0,1322.0,,,,,99.0,99.0,,12.0,9.0,0.35,293.0,293.0,,22.0,1.0
36,src/66_nonlocal/opernlc_ylm.F90,123d386,182.0,182.0,,1.0,1334.0,27.0,1033.0,346.0,,1.0,,0.0,1.0,1.0,1428.0,30.0,1035.0,83.0,717.0,437.0,,,817.0,32.0,785.0,,,,,182.0,182.0,,1.0,9.0,0.42,182.0,182.0,,1.0,1.0
37,src/57_iovars/chkinp.F90,123d386,231.0,231.0,,5.0,1658.0,150.0,1242.0,293.0,,2.0,,0.0,1.0,1.0,3366.0,303.0,2487.0,190.0,2272.0,633.0,,,2087.0,41.0,2046.0,,,,,463.0,463.0,,11.0,7.0,0.25,463.0,463.0,,11.0,1.0
38,src/66_wfs/getgh2c.F90,123d386,58.0,58.0,,1.0,346.0,44.0,243.0,77.0,,1.0,,0.0,1.0,1.0,414.0,47.0,245.0,56.0,188.0,142.0,,,236.0,31.0,205.0,,,,,58.0,58.0,,1.0,4.0,0.58,58.0,58.0,,1.0,1.0
39,src/66_nonlocal/opernla_ylm.F90,123d386,356.0,356.0,,1.0,2505.0,62.0,1921.0,560.0,,1.0,,0.0,1.0,1.0,2616.0,65.0,1923.0,69.0,1851.0,668.0,,,2116.0,37.0,2079.0,,,,,356.0,356.0,,1.0,10.0,0.35,356.0,356.0,,1.0,1.0
40,src/95_drive/dfpt_looppert.F90,123d386,204.0,204.0,,17.0,2071.0,167.0,1602.0,357.0,,1.0,,0.0,1.0,1.0,2194.0,171.0,1604.0,401.0,1148.0,476.0,,,1203.0,169.0,1034.0,,,,,204.0,204.0,,17.0,5.0,0.30,204.0,204.0,,17.0,1.0
41,src/66_nonlocal/mkffnl.F90,123d386,118.0,118.0,,1.0,510.0,34.0,386.0,99.0,,1.0,,0.0,1.0,1.0,662.0,37.0,388.0,70.0,317.0,248.0,,,365.0,29.0,336.0,,,,,118.0,118.0,,1.0,11.0,0.64,118.0,118.0,,1.0,1.0
42,src/57_iovars/outvar_o_z.F90,123d386,60.0,60.0,,0.0,713.0,146.0,496.0,94.0,,2.0,,0.0,1.0,1.0,1507.0,296.0,994.0,58.0,935.0,266.0,,,925.0,33.0,892.0,,,,,120.0,120.0,,1.0,5.0,0.27,120.0,120.0,,1.0,1.0
43,src/41_geometry/m_dynmat.F90,123d386,20.0,20.0,,2.0,126.0,19.0,82.0,26.0,,36.0,,1.0,1.0,36.0,6050.0,837.0,3005.0,571.0,2433.0,2298.0,,,2745.0,457.0,2288.0,,,,,80.0,80.0,,29.0,14.0,0.76,745.0,744.0,,107.0,1.0
44,src/30_diago/m_lobpcg2.F90,123d386,5.0,4.0,,1.0,64.0,10.0,40.0,15.0,,16.0,,1.0,1.0,18.0,1192.0,218.0,741.0,273.0,443.0,294.0,,,710.0,257.0,453.0,,,,,38.0,28.0,,7.0,5.0,0.40,91.0,76.0,,24.0,1.0
45,src/72_response/dfpt_nstpaw.F90,123d386,61.0,61.0,,2.0,386.0,33.0,298.0,59.0,,4.0,,0.0,1.0,1.0,1699.0,136.0,1197.0,293.0,903.0,391.0,,,1061.0,140.0,921.0,,,,,245.0,245.0,,10.0,10.0,0.33,245.0,245.0,,10.0,1.0
46,src/72_response/dfpt_rhofermi.F90,123d386,9.0,9.0,,0.0,99.0,12.0,69.0,18.0,,7.0,,0.0,1.0,1.0,825.0,89.0,488.0,172.0,315.0,256.0,,,414.0,97.0,317.0,,,,,68.0,68.0,,4.0,6.0,0.52,68.0,68.0,,4.0,1.0
47,src/72_response/dfpt_scfcv.F90,123d386,27.0,27.0,,3.0,283.0,29.0,206.0,51.0,,4.0,,0.0,1.0,1.0,1326.0,119.0,829.0,243.0,576.0,397.0,,,649.0,152.0,497.0,,,,,109.0,109.0,,12.0,5.0,0.48,109.0,109.0,,12.0,1.0
48,src/95_drive/bethe_salpeter.F90,123d386,8.0,8.0,,0.0,155.0,22.0,100.0,39.0,,6.0,,0.0,1.0,1.0,1027.0,136.0,605.0,244.0,351.0,325.0,,,478.0,135.0,343.0,,,,,53.0,51.0,,1.0,4.0,0.54,53.0,51.0,,1.0,1.0
49,src/66_nonlocal/nonlop_ylm.F90,123d386,115.0,115.0,,0.0,448.0,31.0,358.0,77.0,,2.0,,0.0,1.0,1.0,1181.0,66.0,719.0,150.0,568.0,436.0,,,739.0,54.0,685.0,,,,,231.0,231.0,,1.0,10.0,0.61,231.0,231.0,,1.0,1.0
50,src/72_response/dfpt_scfcv.F90,123d386,87.0,87.0,,4.0,643.0,70.0,479.0,105.0,,3.0,,0.0,1.0,1.0,2087.0,215.0,1439.0,317.0,1091.0,470.0,,,1189.0,171.0,1018.0,,,,,261.0,261.0,,12.0,5.0,0.33,261.0,261.0,,12.0,1.0
51,src/94_scfcv/scfcv.F90,123d386,87.0,87.0,,4.0,643.0,70.0,479.0,105.0,,3.0,,0.0,1.0,1.0,2087.0,215.0,1439.0,317.0,1091.0,470.0,,,1189.0,171.0,1018.0,,,,,261.0,261.0,,12.0,5.0,0.33,261.0,261.0,,12.0,1.0
52,src/42_libpaw/m_pawxc.F90,123d386,41.0,41.0,,1.0,244.0,27.0,165.0,62.0,,19.0,,0.0,14.0,19.0,5203.0,524.0,2996.0,270.0,2327.0,1890.0,,,3088.0,257.0,2831.0,,,,,143.0,143.0,,9.0,12.0,0.63,787.0,787.0,,32.0,1.0
53,src/72_response/dfpt_vtorho.F90,123d386,18.0,18.0,,2.0,189.0,24.0,120.0,47.0,,13.0,,0.0,1.0,7.0,2296.0,249.0,1387.0,318.0,991.0,697.0,,,1113.0,198.0,915.0,,,,,216.0,216.0,,15.0,4.0,0.50,239.0,239.0,,26.0,1.0
54,src/79_seqpar_mpi/vtorho.F90,123d386,18.0,18.0,,2.0,189.0,24.0,120.0,47.0,,13.0,,0.0,1.0,7.0,2296.0,249.0,1387.0,318.0,991.0,697.0,,,1113.0,198.0,915.0,,,,,216.0,216.0,,15.0,4.0,0.50,239.0,239.0,,26.0,1.0
55,src/66_wfs/getgh1c.F90,123d386,40.0,38.0,,0.0,249.0,25.0,181.0,51.0,,4.0,,0.0,3.0,3.0,1139.0,111.0,729.0,179.0,549.0,339.0,,,670.0,89.0,581.0,,,,,113.0,113.0,,1.0,6.0,0.47,161.0,154.0,,3.0,1.0
56,src/95_drive/respfn.F90,123d386,47.0,47.0,,0.0,423.0,50.0,318.0,60.0,,4.0,,0.0,1.0,1.0,1805.0,206.0,1274.0,372.0,886.0,349.0,,,981.0,137.0,844.0,,,,,189.0,189.0,,1.0,10.0,0.27,189.0,189.0,,1.0,1.0
57,src/72_response/rf2_init.F90,123d386,57.0,57.0,,10.0,411.0,57.0,289.0,95.0,,2.0,,0.0,1.0,1.0,892.0,118.0,580.0,101.0,479.0,257.0,,,540.0,49.0,491.0,,,,,115.0,115.0,,21.0,6.0,0.44,115.0,115.0,,21.0,1.0
58,src/54_abiutil/m_dtset.F90,123d386,34.0,34.0,,1.0,430.0,44.0,358.0,28.0,,3.0,,1.0,1.0,3.0,1435.0,151.0,1089.0,109.0,975.0,200.0,,,980.0,33.0,947.0,,,,,67.0,67.0,,1.0,7.0,0.18,103.0,103.0,,3.0,1.0
59,src/72_response/rf2_init.F90,f60023f,116.0,116.0,,21.0,833.0,114.0,586.0,194.0,,1.0,,0.0,1.0,1.0,902.0,117.0,588.0,102.0,486.0,260.0,,,547.0,50.0,497.0,,,,,116.0,116.0,,21.0,6.0,0.44,116.0,116.0,,21.0,0.0
60,src/95_drive/nonlinear.F90,f60023f,51.0,51.0,,0.0,555.0,64.0,435.0,67.0,,2.0,,0.0,1.0,1.0,1188.0,131.0,873.0,256.0,616.0,209.0,,,646.0,106.0,540.0,,,,,103.0,103.0,,1.0,7.0,0.24,103.0,103.0,,1.0,0.0
61,src/65_paw/paw_dfptnl_accrhoij.F90,f60023f,33.0,33.0,,14.0,276.0,23.0,174.0,106.0,,1.0,,0.0,1.0,1.0,353.0,26.0,176.0,43.0,132.0,180.0,,,179.0,33.0,146.0,,,,,33.0,33.0,,14.0,6.0,1.02,33.0,33.0,,14.0,0.0
62,src/72_response/dfptnl_pert.F90,f60023f,39.0,39.0,,3.0,573.0,77.0,346.0,163.0,,2.0,,0.0,1.0,1.0,1217.0,158.0,695.0,224.0,470.0,394.0,,,560.0,107.0,453.0,,,,,78.0,78.0,,6.0,7.0,0.57,78.0,78.0,,6.0,0.0
63,src/67_common/scprqt.F90,f60023f,47.0,47.0,,0.0,261.0,23.0,205.0,36.0,,3.0,,0.0,1.0,2.0,851.0,68.0,598.0,61.0,525.0,198.0,,,540.0,46.0,494.0,,,,,132.0,130.0,,1.0,2.0,0.33,143.0,141.0,,2.0,0.0
64,src/42_libpaw/m_pawxc.F90,f60023f,41.0,41.0,,1.0,250.0,27.0,164.0,69.0,,19.0,,0.0,14.0,19.0,5331.0,525.0,2982.0,271.0,2308.0,2026.0,,,3077.0,258.0,2819.0,,,,,143.0,143.0,,9.0,12.0,0.68,791.0,791.0,,32.0,0.0
65,src/95_drive/dtfil_init.F90,f60023f,41.0,41.0,,1.0,508.0,58.0,365.0,106.0,,1.0,,0.0,1.0,1.0,565.0,61.0,367.0,44.0,322.0,160.0,,,371.0,36.0,335.0,,,,,41.0,41.0,,1.0,3.0,0.44,41.0,41.0,,1.0,0.0
66,src/72_response/dfpt_vtorho.F90,f60023f,23.0,23.0,,2.0,246.0,31.0,156.0,61.0,,10.0,,0.0,1.0,7.0,2296.0,249.0,1387.0,318.0,991.0,697.0,,,1113.0,198.0,915.0,,,,,216.0,216.0,,15.0,4.0,0.50,239.0,239.0,,26.0,0.0
67,src/79_seqpar_mpi/vtorho.F90,f60023f,23.0,23.0,,2.0,246.0,31.0,156.0,61.0,,10.0,,0.0,1.0,7.0,2296.0,249.0,1387.0,318.0,991.0,697.0,,,1113.0,198.0,915.0,,,,,216.0,216.0,,15.0,4.0,0.50,239.0,239.0,,26.0,0.0
68,src/72_response/dfpt_vtorho.F90,f60023f,13.0,13.0,,0.0,140.0,16.0,107.0,19.0,,5.0,,0.0,1.0,1.0,861.0,87.0,537.0,197.0,339.0,255.0,,,455.0,111.0,344.0,,,,,68.0,68.0,,4.0,6.0,0.47,68.0,68.0,,4.0,0.0
69,src/94_scfcv/afterscfloop.F90,f60023f,19.0,19.0,,0.0,206.0,21.0,151.0,35.0,,4.0,,0.0,1.0,1.0,1026.0,89.0,609.0,150.0,358.0,339.0,,,446.0,110.0,336.0,,,,,77.0,77.0,,1.0,6.0,0.56,77.0,77.0,,1.0,0.0
70,src/70_gw/paw_qpscgw.F90,f60023f,4.0,4.0,,1.0,160.0,23.0,101.0,39.0,,1.0,,0.0,1.0,1.0,222.0,26.0,103.0,55.0,47.0,98.0,,,92.0,49.0,43.0,,,,,4.0,4.0,,1.0,2.0,0.95,4.0,4.0,,1.0,0.0
71,src/66_nonlocal/opernlc_ylm.F90,f60023f,182.0,182.0,,1.0,1334.0,27.0,1033.0,346.0,,1.0,,0.0,1.0,1.0,1429.0,30.0,1035.0,83.0,717.0,438.0,,,817.0,32.0,785.0,,,,,182.0,182.0,,1.0,9.0,0.42,182.0,182.0,,1.0,0.0
72,src/72_response/dfpt_vtowfk.F90,f60023f,25.0,25.0,,2.0,232.0,30.0,161.0,42.0,,2.0,,0.0,1.0,1.0,588.0,64.0,324.0,120.0,203.0,206.0,,,272.0,71.0,201.0,,,,,50.0,50.0,,5.0,4.0,0.64,50.0,50.0,,5.0,0.0
73,src/57_iovars/invars2.F90,f60023f,395.0,395.0,,2.0,1468.0,284.0,1098.0,97.0,,2.0,,0.0,1.0,1.0,3004.0,571.0,2199.0,113.0,2031.0,260.0,,,2494.0,42.0,2452.0,,,,,791.0,791.0,,5.0,6.0,0.12,791.0,791.0,,5.0,0.0
74,src/72_response/dfpt_rhofermi.F90,f60023f,11.0,11.0,,0.0,115.0,14.0,81.0,21.0,,6.0,,0.0,1.0,1.0,825.0,89.0,488.0,172.0,315.0,256.0,,,414.0,97.0,317.0,,,,,68.0,68.0,,4.0,6.0,0.52,68.0,68.0,,4.0,0.0
75,src/66_nonlocal/mkffnl.F90,f60023f,118.0,118.0,,1.0,511.0,34.0,387.0,98.0,,1.0,,0.0,1.0,1.0,663.0,37.0,389.0,70.0,318.0,247.0,,,365.0,29.0,336.0,,,,,118.0,118.0,,1.0,11.0,0.63,118.0,118.0,,1.0,0.0
76,src/66_wfs/getgh1c.F90,f60023f,55.0,53.0,,1.0,341.0,35.0,249.0,70.0,,3.0,,0.0,3.0,3.0,1165.0,115.0,750.0,183.0,566.0,343.0,,,688.0,90.0,598.0,,,,,116.0,116.0,,1.0,6.0,0.46,166.0,159.0,,3.0,0.0
77,src/65_paw/pawdenpot.F90,f60023f,53.0,53.0,,0.0,298.0,31.0,236.0,39.0,,3.0,,0.0,1.0,1.0,993.0,96.0,712.0,131.0,580.0,213.0,,,635.0,56.0,579.0,,,,,160.0,160.0,,1.0,7.0,0.30,160.0,160.0,,1.0,0.0
78,src/66_nonlocal/nonlop_test.F90,f60023f,34.0,34.0,,2.0,182.0,18.0,145.0,19.0,,2.0,,0.0,1.0,1.0,433.0,40.0,292.0,75.0,216.0,105.0,,,312.0,42.0,270.0,,,,,69.0,69.0,,5.0,5.0,0.36,69.0,69.0,,5.0,0.0
79,src/95_drive/screening.F90,f60023f,76.0,75.0,,5.0,730.0,91.0,512.0,154.0,,2.0,,0.0,1.0,1.0,1545.0,185.0,1026.0,295.0,704.0,390.0,,,853.0,131.0,722.0,,,,,153.0,150.0,,11.0,5.0,0.38,153.0,150.0,,11.0,0.0
80,src/72_response/dfpt_scfcv.F90,f60023f,87.0,87.0,,4.0,643.0,70.0,479.0,105.0,,3.0,,0.0,1.0,1.0,2087.0,215.0,1439.0,317.0,1091.0,470.0,,,1189.0,171.0,1018.0,,,,,261.0,261.0,,12.0,5.0,0.33,261.0,261.0,,12.0,0.0
81,src/94_scfcv/scfcv.F90,f60023f,87.0,87.0,,4.0,643.0,70.0,479.0,105.0,,3.0,,0.0,1.0,1.0,2087.0,215.0,1439.0,317.0,1091.0,470.0,,,1189.0,171.0,1018.0,,,,,261.0,261.0,,12.0,5.0,0.33,261.0,261.0,,12.0,0.0
82,src/66_wfs/getgh2c.F90,f60023f,80.0,80.0,,1.0,473.0,69.0,327.0,97.0,,1.0,,0.0,1.0,1.0,546.0,72.0,329.0,69.0,260.0,167.0,,,325.0,35.0,290.0,,,,,80.0,80.0,,1.0,4.0,0.51,80.0,80.0,,1.0,0.0
83,src/66_wfs/getghc.F90,f60023f,49.0,49.0,,0.0,294.0,27.0,233.0,47.0,,3.0,,0.0,2.0,2.0,1027.0,90.0,704.0,154.0,548.0,277.0,,,619.0,75.0,544.0,,,,,111.0,111.0,,1.0,8.0,0.39,149.0,149.0,,2.0,0.0
84,src/42_libpaw/m_pawang.F90,f60023f,10.0,10.0,,1.0,175.0,29.0,96.0,51.0,,10.0,,0.0,1.0,10.0,1007.0,163.0,483.0,80.0,362.0,372.0,,,497.0,80.0,417.0,,,,,34.0,34.0,,1.0,12.0,0.77,103.0,103.0,,10.0,0.0
85,src/42_libpaw/m_pawpsp.F90,f60023f,20.0,20.0,,3.0,397.0,42.0,256.0,104.0,,23.0,,0.0,1.0,23.0,4980.0,528.0,2951.0,342.0,2230.0,1579.0,,,2750.0,322.0,2428.0,,,,,106.0,104.0,,31.0,5.0,0.54,482.0,465.0,,72.0,0.0
