index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
26,SchedulerClosedException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,5.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,0.0
27,NoSuchCopyException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,5.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,0.0
28,LocalFileSystem.java,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,17.0,17.0,17.0,0.0,17.0,0.0,0.0,4.0,13.0,183.0,39.0,129.0,52.0,55.0,15.0,57.0,82.0,36.0,46.0,3.0,3.0,4.0,3.0,2.0,0.12,24.0,24.0,25.0,19.0,0.0
29,QueueStatusImplementation.java,1.0,1.0,1.0,1.0,10.0,0.0,4.0,5.0,1.0,0.0,0.0,7.0,7.0,7.0,4.0,7.0,0.0,0.0,0.0,7.0,113.0,15.0,43.0,18.0,15.0,55.0,20.0,30.0,16.0,14.0,3.0,3.0,3.0,1.0,1.0,1.28,9.0,9.0,9.0,7.0,0.0
30,SshInteractiveProcessFactoryTest.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,122.0,22.0,85.0,50.0,46.0,15.0,56.0,66.0,41.0,25.0,1.0,1.0,1.0,1.0,0.0,0.18,9.0,9.0,9.0,9.0,0.0
31,MockClientSession.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,120.0,120.0,120.0,4.0,120.0,2.0,0.0,0.0,118.0,728.0,163.0,550.0,286.0,144.0,15.0,181.0,304.0,178.0,126.0,2.0,2.0,2.0,1.0,1.0,0.03,122.0,122.0,122.0,120.0,0.0
32,PasswordCredentialTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,11.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,96.0,15.0,66.0,43.0,27.0,15.0,31.0,43.0,32.0,11.0,1.0,1.0,1.0,1.0,0.0,0.23,11.0,11.0,11.0,11.0,0.0
33,PosixFileUtils.java,4.0,3.0,4.0,1.0,17.0,1.0,15.0,0.0,1.0,5.0,10.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,157.0,28.0,95.0,24.0,66.0,34.0,49.0,67.0,23.0,44.0,11.0,10.0,11.0,1.0,2.0,0.36,24.0,16.0,24.0,5.0,0.0
34,SlurmSetupTest.java,1.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,138.0,31.0,79.0,43.0,42.0,28.0,50.0,60.0,34.0,26.0,1.0,1.0,1.0,1.0,0.0,0.35,9.0,9.0,9.0,9.0,0.0
35,JobDescription.java,1.0,1.0,2.0,1.0,11.0,0.0,5.0,5.0,1.0,0.0,1.0,34.0,34.0,34.0,13.0,34.0,0.0,0.0,0.0,34.0,496.0,64.0,200.0,60.0,111.0,232.0,87.0,136.0,58.0,78.0,8.0,8.0,16.0,3.0,2.0,1.16,52.0,52.0,69.0,36.0,0.0
