index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
120,FileVisitor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,29.0,6.0,11.0,10.0,0.0,12.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,9.0
121,LocalAdaptor.java,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,9.0,10.0,10.0,10.0,2.0,10.0,1.0,0.0,0.0,9.0,124.0,32.0,79.0,44.0,33.0,13.0,38.0,53.0,35.0,18.0,4.0,4.0,6.0,1.0,1.0,0.16,14.0,14.0,16.0,10.0,31.0
122,SshCredentials.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,44.0,7.0,37.0,24.0,8.0,0.0,19.0,24.0,18.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,21.0
123,InvalidJobDescriptionException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,12.0
124,IllegalPropertyException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0
125,AdaptorStatusImplementation.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,50.0,11.0,39.0,21.0,11.0,0.0,19.0,26.0,15.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,12.0
126,AbstractFileTests.java,1.0,1.0,1.0,1.0,11.0,1.0,8.0,1.0,1.0,3.0,1.0,14.0,15.0,12.0,1.0,15.0,0.0,0.0,3.0,12.0,225.0,49.0,138.0,71.0,77.0,38.0,82.0,105.0,63.0,42.0,3.0,3.0,3.0,1.0,2.0,0.28,20.0,20.0,20.0,14.0,10.0
127,Adaptor.java,2.0,2.0,2.0,1.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,8.0,13.0,13.0,7.0,13.0,0.0,1.0,1.0,11.0,121.0,35.0,79.0,36.0,30.0,7.0,49.0,67.0,39.0,28.0,4.0,4.0,4.0,3.0,2.0,0.09,16.0,16.0,16.0,10.0,28.0
128,IllegalSourcePathException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0
129,UnknownPropertyException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,12.0
130,JobScriptGeneratorTest.java,1.0,1.0,1.0,1.0,11.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,9.0,12.0,7.0,4.0,1.0,7.0,9.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,5.0
131,IllegalJobDescriptionException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0
132,NoSuchQueueException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,11.0
133,SandboxedLocalJobIT.java,3.0,3.0,3.0,1.0,80.0,12.0,44.0,26.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,111.0,18.0,69.0,43.0,40.0,26.0,59.0,63.0,42.0,21.0,3.0,3.0,3.0,1.0,1.0,0.38,3.0,3.0,3.0,1.0,14.0
134,AbsolutePathImplementation.java,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,24.0,24.0,24.0,3.0,24.0,1.0,0.0,0.0,23.0,178.0,40.0,112.0,54.0,30.0,26.0,36.0,64.0,34.0,30.0,2.0,2.0,2.0,1.0,1.0,0.23,26.0,26.0,26.0,24.0,4.0
135,SftpFileTests.java,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,55.0,13.0,34.0,18.0,14.0,9.0,17.0,24.0,17.0,7.0,2.0,2.0,2.0,1.0,1.0,0.26,5.0,5.0,5.0,4.0,0.0
136,OctopusProperties.java,2.0,2.0,2.0,1.0,18.0,1.0,8.0,8.0,1.0,0.0,1.0,33.0,33.0,33.0,0.0,33.0,1.0,1.0,0.0,31.0,747.0,98.0,302.0,83.0,167.0,347.0,127.0,208.0,84.0,124.0,6.0,6.0,10.0,6.0,2.0,1.15,81.0,81.0,91.0,54.0,19.0
137,SshProcess.java,5.0,5.0,6.0,1.0,33.0,4.0,26.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,13.0,4.0,3.0,0.0,0.0,1.0,179.0,31.0,138.0,38.0,78.0,10.0,76.0,102.0,38.0,64.0,10.0,10.0,13.0,3.0,2.0,0.07,23.0,23.0,26.0,6.0,2.0
