Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
base.py,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,6.0,5.0,105.0,25.0,28.0,9.0,19.0,52.0,1.0,0.0,25.0,8.0,17.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.86,7.0,7.0,7.0,6.0,0.0
DCD.py,1.0,1.0,1.0,1.0,22.0,2.0,8.0,13.0,3.0,18.0,17.0,612.0,94.0,177.0,38.0,139.0,349.0,1.0,0.0,158.0,33.0,125.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,2.0,1.97,34.0,34.0,34.0,27.0,0.0
INPCRD.py,6.0,6.0,6.0,1.0,27.0,2.0,22.0,3.0,1.0,1.0,1.0,60.0,9.0,27.0,4.0,23.0,24.0,0.0,0.0,26.0,4.0,22.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,3.0,0.89,6.0,6.0,6.0,1.0,0.0
LAMMPS.py,3.0,3.0,3.0,2.0,8.0,0.0,8.0,1.0,3.0,4.0,4.0,168.0,33.0,48.0,11.0,37.0,91.0,0.0,0.0,47.0,11.0,36.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.90,12.0,12.0,12.0,10.0,0.0
MOL2.py,2.0,2.0,2.0,1.0,18.0,2.0,12.0,3.0,2.0,10.0,10.0,310.0,54.0,139.0,17.0,122.0,120.0,0.0,0.0,112.0,16.0,96.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,3.0,0.86,24.0,24.0,24.0,17.0,0.0
PDB.py,3.0,3.0,3.0,2.0,23.0,3.0,12.0,9.0,6.0,35.0,34.0,1317.0,267.0,470.0,60.0,410.0,613.0,2.0,0.0,408.0,56.0,352.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,14.0,4.0,1.30,118.0,118.0,118.0,74.0,0.0
TRJ.py,3.0,3.0,3.0,1.0,23.0,2.0,15.0,7.0,4.0,23.0,22.0,823.0,165.0,369.0,41.0,328.0,314.0,2.0,0.0,326.0,38.0,288.0,2.0,2.0,2.0,1.0,11.0,11.0,11.0,8.0,2.0,0.85,80.0,80.0,80.0,42.0,0.0
TRR.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,24.0,1.0,1.0,0.0,98.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.00,0.0,0.0,0.0,0.0,0.0
TRZ.py,2.0,2.0,2.0,1.0,19.0,1.0,14.0,3.0,3.0,22.0,22.0,588.0,98.0,355.0,42.0,310.0,145.0,0.0,0.0,254.0,36.0,218.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,3.0,3.0,0.41,52.0,52.0,52.0,28.0,0.0
XTC.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,13.0,1.0,1.0,0.0,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.00,0.0,0.0,0.0,0.0,0.0
XYZ.py,2.0,2.0,2.0,1.0,15.0,1.0,9.0,5.0,2.0,17.0,16.0,422.0,69.0,178.0,32.0,144.0,177.0,1.0,0.0,154.0,29.0,125.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,5.0,3.0,0.99,45.0,45.0,45.0,27.0,0.0
